,English,Français,
43,Default Role at Time of Signup,Rôle au Moment de l’Inscription par Défaut,
44,Default settings for Shopping Cart,Paramètres par Défaut pour le Panier d’Achat,
45,Default Source Warehouse,Entrepôt Source par Défaut,
46,Default Stock UOM,UDM par Défaut des Articles,
47,Default Supplier Type,Type de Fournisseur par Défaut,
48,Default Target Warehouse,Entrepôt Cible par Défaut,
49,Default theme is set in {0},Le Thème par défaut est défini dans {0},
50,Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,L’Unité de Mesure par Défaut pour l’Article {0} ne peut pas être modifiée directement parce que vous avez déjà fait une (des) transaction (s) avec une autre unité de mesure. Vous devez créer un nouvel article pour utiliser une UDM par défaut différente.,
51,Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',L’Unité de mesure par défaut pour la variante '{0}' doit être la même que dans le Modèle '{1}',
52,Default warehouse is required for selected item,Un Entrepôt par défaut est nécessaire pour l’Article sélectionné,
53,Default Work In Progress Warehouse,Entrepôt de Travail en Cours par Défaut,
54,Define Frappe Server URL in Social Login Keys,Définir l’URL du serveur Frappe dans les Clés de Réseaux Sociaux,
55,Defines actions on states and the next step and allowed roles.,Définit les actions sur les états et l’étape suivantes ainsi que les rôles autorisés.,
56,Delete Company Transactions,Supprimer les Transactions de la Société,
57,Deleted Name,Nom Supprimé,
58,Delivery Document No,Numéro de Document de Livraison,
59,Delivery Document Type,Type de Document de Livraison,
60,Delivery Note Trends,Tendance des Bordereaux de Livraisons,
61,depends_on,Dépend de,
62,depends_on_tasks,Dépend des Tâches,
63,Depreciation,Amortissment,
64,Depreciation Amount,Montant d'Amortissement,
65,Depreciation Amount during the period,Montant d'Amortissement au cours de la période,
66,Depreciation Date,Date d’Amortissement,
67,Depreciation Eliminated due to disposal of assets,Amortissement Eliminé en raison de cessions d'actifs,
68,Depreciation Entry,Ecriture d’Amortissement,
69,Depreciation Expense Account,Compte de Dotations aux Amortissement,
70,Depreciation Method,Méthode d'Amortissement,
71,"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Texte de description pour l'affichage en liste, quelques lignes seulement. (Max 140 caractères)",
72,Desk Access,Accès au Bureau,
73,Detailed feedback,Retour d’Expérience détaillé,
74,Details of the operations carried out.,Détails des opérations effectuées.,
75,Difference Account,Compte d’Écart,
76,"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Le Compte d’Écart doit être un compte de type Actif / Passif, puisque cette Réconciliation de Stock est une écriture d'à-nouveau",
77,Difference Amount (Company Currency),Écart de Montant (Devise de la Société),
78,Difference Amount must be zero,L’Écart de Montant doit être égal à zéro,
79,"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Différents «États» dans lesquels le présent document peut exister. Comme ""Ouvert"", ""En attente d'approbation"", etc",
80,Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,Différentes UDM pour les articles conduira à un Poids Net (Total) incorrect . Assurez-vous que le Poids Net de chaque article a la même unité de mesure .,
81,Disable Capacity Planning and Time Tracking,Désactiver la Plannification de Capacité et la Gestion du Temps,
82,Disabled template must not be default template,Un Modèle Désactivé ne doit pas être un Modèle par Défaut,
83,Disables creation of time logs against Production Orders. Operations shall not be tracked against Production Order,Désactive la création de registres de temps pour les Ordres de Fabrication. Le suivi des Opérations ne nécessite pas d’Ordres de Fabrication,
84,Discount Percentage can be applied either against a Price List or for all Price List.,Pourcentage de Réduction peut être appliqué pour une liste de prix en particulier ou pour toutes les listes de prix.,
85,Dispatch,Envoi,
86,Display Depends On,Affichage Dépend de,
87,Disposal Date,Date d’Élimination,
88,Distance from left edge,Distance du bord gauche,
89,Distance from top edge,Distance du bord supérieur,
90,Distinct unit of an Item,Unité distincte d'un Article,
91,Distribute Charges Based On,Distribuer les Charges sur la Base de,
92,Distribution Name,Nom de Distribution,
93,DN Detail,Détail du Bon de Livraison,
94,DN-,DN-,
95,DN-RET-,DN-RET-,
96,Do not allow user to change after set the first time,Ne pas permettre à l'utilisateur de changer après avoir défini le premier paramétrage,
97,Do not Match,Ne Correspondent Pas,
98,Do you really want to Submit all Salary Slip from {0} to {1},Voulez-vous vraiment Soumettre toutes les Fiches de Paie de {0} à {1},
99,DocField,DocField,
100,DocPerm,DocPerm,
101,DocShare,DocShare,
102,DocType,DocType,
103,DocType can not be merged,DocType ne peut pas être fusionné,
104,DocType is a Table / Form in the application.,DocType est un Tableau / Formulaire dans l'application.,
105,DocType or Field,DocType ou Champ,
106,Doctype to Assign Tags,Doctype pour Affecter des Étiquettes,
107,"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Le nom du DocType doit commencer par une lettre et il peut uniquement se composer de lettres, des chiffres, d’espaces et du tiret bas (underscore)",
108,Doctypes,Doctypes,
109,Document is only editable by users of role,Document est modifiable uniquement par les utilisateurs du rôle,
110,Document Queued,Document en Attente,
111,Document Share Report,Rapport de Partage de Document,
112,Document States,États du Document,
113,Document Status,Statut du Document,
114,Document Status transition from,Changement de Statut du Document depuis,
115,"Don't HTML Encode HTML tags like <script> or just characters like < or >, as they could be intentionally used in this field","Ne pas encoder les balises HTML en HTML comme <script> ou tout simplement des caractères comme < ou >, car ils pourraient être utilisés intentionnellement dans ce champ",
116,"Don't know, ask 'help'","Vous ne savez pas, demandez de l’ 'aide'",
117,Don't Override Status,Ne pas Remplacer le Statut,
118,Doors,Portes,
119,Double Declining Balance,Double Solde Dégressif,
120,Download a report containing all raw materials with their latest inventory status,Télécharger un rapport contenant toutes les matières premières avec leur dernier état de stocks,
121,Download link for your backup will be emailed on the following email address: {0},Le lien de téléchargement pour votre sauvegarde sera envoyé sur l'adresse email suivante: {0},
122,Download Materials Required,Télécharger les Matériaux Requis,
123,"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records","Téléchargez le modèle, remplissez les données appropriées et joignez le fichier modifié.
Toutes les dates et combinaisons d’employés pour la période choisie seront inclus dans le modèle, avec les registres des présences existants",
124,download-alt,Télécharger-alt,
125,Downloading App {0},Téléchargement de l’App {0},
126,Drop Ship,Expédition Directe,
127,Dropbox access is approved!,Accès Dropbox approuvé!,
128,Dropbox Access Key,Clé d'Accès Dropbox,
129,Dropbox Access Secret,Secret d’Accès Dropbox,
130,Dropbox Settings,Paramètres Dropbox,
131,Due / Reference Date cannot be after {0},Date d’échéance / de référence ne peut pas être après le {0},
132,Duplicate customer group found in the cutomer group table,Groupe de clients en double trouvé dans le tableau des groupes de clients,Faute de frappe dans la traduction anglaise
133,Duplicate entry,Écriture en double,
134,Duplicate Entry. Please check Authorization Rule {0},Écriture en double. Merci de vérifier la Règle d’Autorisation {0},
135,Duplicate item group found in the item group table,Groupe d’articles en double trouvé dans la table des groupes d'articles,
136,Duplicate row {0} with same {1},Ligne {0} en double avec le même {1},
137,Daily,Quotidien,
138,Daily Reminders,Rappels Quotidiens,
139,Danger,Danger,
140,Data,Données,
141,Data Import and Export,Importer et Exporter des Données,
142,Data Import Template,Modèle d'Importation de Données,
143,Data Import Tool,Outil d'Importation de Données,
144,Data missing in table,Données manquantes dans le tableau,
145,Database Engine,Moteur de Base de Données,
146,Database of potential customers.,Base de données de clients potentiels.,
147,Database Size,Taille de la Base de Données,
148,Date,Date,
149,Date and Number Format,Format de Date et Nombre,
150,Date Format,Format de Date,
151,Date is repeated,La Date est répétée,
152,Date must be in format: {0},Les Dates doivent être au format: {0},
153,Date of Birth,Date de Naissance,
154,Date of Birth cannot be greater than today.,Date de Naissance ne peut être après la Date du Jour.,
155,Date of Issue,Date d'Émission,
156,Date of Joining,Date d'Embauche,
157,Date of Joining must be greater than Date of Birth,La Date d'Embauche doit être après à la Date de Naissance,
158,Date Of Retirement,Date de Départ à la Retraite,
159,Date Of Retirement must be greater than Date of Joining,La Date de Départ à la Retraite doit être supérieure à Date d'Embauche,
160,Date Settings,Paramètres de Date,
161,Dates are often easy to guess.,Les Dates sont souvent faciles à deviner.,
162,Datetime,Date/Heure,
163,Day,Jour,
164,Day of Week,Jour de la Semaine,
165,Days After,Jours Suivants,
166,Days Before,Jours Précedents,
167,Days Before or After,Jours Précédents ou Suivants,
168,Days for which Holidays are blocked for this department.,Jours pour lesquels les Vacances sont bloquées pour ce département.,
169,Days Since Last Order,Jours Depuis la Dernière Commande,
170,dd-mm-yyyy,jj-mm-aaaa,
171,dd.mm.yyyy,dd.mm.yyyy,
172,dd/mm/yyyy,jj/mm/aaaa,
173,Dealer,Revendeur,
174,Dear,Cher,
175,"Dear System Manager,","Cher Administrateur Système ,",
176,Debit,Débit,
177,Debit Account,Compte de Débit,
178,Debit Amount,Montant du Débit,
179,Debit Note,Note de Débit,
180,Debtors,Débiteurs,
181,Debtors ({0}),Débiteurs ({0}),
182,Deduct,Déduire,
183,Deduction,Déduction,
184,Deductions,Déductions,
185,Deductions or Loss,Déductions ou Perte,
186,Default,Par Défaut,
187,Default 10 mins,10 minutes Pa Défaut,
188,Default Account,Compte par Défaut,
189,Default Address Template cannot be deleted,Le Modèle d’Adresse par défaut ne peut pas être supprimé,
190,Default Amount,Montant par Défaut,
191,Default Bank Account,Compte Bancaire par Défaut,
192,Default Billing Rate,Prix de Facturation par Défaut,
193,Default BOM,LDM par Défaut,
194,Default Buying Cost Center,Centre de Coûts d'Achat par Défaut,
195,Default Buying Price List,Liste des Prix d'Achat par Défaut,
196,Default Cash Account,Compte de Caisse par Défaut,
197,Default Company,Société par Défaut,
198,Default Cost Center,Centre de Coûts par Défaut,
199,Default Costing Rate,Coût de Revient par Défaut,
200,Default Currency,Devise par Défaut,
201,Default Customer Group,Groupe de Clients par Défaut,
202,Default Expense Account,Compte de Charges par Défaut,
203,Default Finished Goods Warehouse,Entrepôt de Produits Finis par Défaut,
204,Default Holiday List,Liste de Vacances par Défaut,
205,Default Inbox,Boîte de Réception par Défaut,
206,Default Income Account,Compte de Produits par Défaut,
207,Default Letter Head,En-Tête de Courrier par Défaut,
208,Default Payable Account,Compte Fournisseur par Défaut,
209,Default Payable Accounts,Comptes Fournisseurs par Défaut,
210,Default Price List,Liste des Prix par Défaut,
211,Default Print Format,Format d'Impression par Défaut,
212,Default Receivable Account,Compte Client par Défaut,
213,Default Selling Cost Center,Centre de Coût Vendeur par Défaut,
214,Default Sending,Envoi par Défaut,
215,Default Sending and Inbox,Boîte d’Envois et de Réception par Défaut,
216,Default settings for accounting transactions.,Paramètres par défaut pour les opérations comptables .,
217,Default settings for buying transactions.,Paramètres par défaut pour les transactions d'achat.,
218,Default settings for selling transactions.,Paramètres par défaut pour les transactions de vente.,
219,Default settings for stock transactions.,Paramètres par défaut pour les mouvements de stock.,
220,Default Supplier,Fournisseur par Défaut,
221,Default Terms,Termes et Conditions par Défaut,
222,Default Territory,Région par Défaut,
223,Default Unit of Measure,Unité de Mesure par Défaut,
224,Default Valuation Method,Méthode de Valorisation par Défaut,
225,Default Value,Valeur par Défaut,
226,Default Values,Valeurs Par Défaut,
227,Default Warehouse,Entrepôt par Défaut,
228,Default Workstation,Station de Travail par Défaut,
229,"Default: ""Contact Us""","Par Défaut: ""Contactez-nous""",
230,Defaults,Valeurs Par Défaut,
231,DefaultValue,Valeur par Défaut,
232,Defense,Défense,
233,Define budget for a financial year.,Définir le budget pour un exercice.,
234,Define workflows for forms.,Définir des flux de travail pour les formulaires.,
235,Defines workflow states and rules for a document.,Défini les états du flux de travail et les règles pour un document.,
236,Delay in payment (Days),Retard de paiement (jours),
237,Delayed,Différé,
238,Delete,Supprimer,
239,Delete all the Transactions for this Company,Supprimer toutes les Transactions pour cette Société,
240,Delete permanently?,Supprimer définitivement ?,
241,Delete this record to allow sending to this email address,Supprimer cet enregistrement pour permettre l'envoi à cette adresse Email,
242,Deleted,Supprimé,
243,Delivered,Livré,
244,Delivered Amount,Montant Livré,
245,Delivered By Supplier,Livré par le Fournisseur,
246,Delivered by Supplier (Drop Ship),Livré par le Fournisseur (Expédition Directe),
247,Delivered Items To Be Billed,Articles Livrés à Facturer,
248,Delivered Qty,Qté Livrée,
249,Delivered: {0},Livré: {0},
250,Delivery,Livraison,
251,Delivery Date,Date de Livraison,
252,Delivery Details,Détails de la Livraison,
253,Delivery Note,Bon de Livraison,
254,Delivery Note {0} is not submitted,Bon de Livraison {0} n'est pas soumis,
255,Delivery Note {0} must not be submitted,Bon de Livraison {0} ne doit pas être soumis,
256,Delivery Note Item,Bon de Livraison article,
257,Delivery Note Message,Message du Bon de Livraison,
258,Delivery Note No,Bon de Livraison No,
259,Delivery Note Required,Bon de Livraison Requis,
260,Delivery Notes {0} must be cancelled before cancelling this Sales Order,Bons de Livraison {0} doivent être annulés avant d’annuler cette commande,
261,Delivery Status,Statut de la Livraison,
262,Delivery Time,Heure de la Livraison,
263,Delivery To,Livraison à,
264,Delivery Warehouse,Entrepôt de Livraison,
265,Delivery warehouse required for stock item {0},Entrepôt de Livraison requis pour article du stock {0},
266,Department,Département,
267,Department Stores,Grands Magasins,
268,Dependent Task,Tâche Dépendante,
269,Depends On,Dépend De,
270,Depends on Leave Without Pay,Dépend de Congé Non Payé,
271,Depreciation Schedule,Calendrier d'Amortissement,
272,Depreciation Schedules,Calendriers d'Amortissement,
273,DESC,DESC,
274,Descending,Descendant,
275,Description,Description,
276,Description for search engine optimization.,Description pour l'optimisation des moteurs de recherche.,
277,Description of a Job Opening,Description d'une Nouvelle Offre d’Emploi,
278,Designation,Désignation,
279,Designer,Designer,
280,Desk,Bureau,
281,Desktop,Bureau,
282,Desktop Background,Fond d'Écran du Bureau,
283,Desktop Icon,Icône du Bureau,
284,Details,Détails,
285,Developer,Développeur,
286,Developer Tools,Outils de Développement,
287,Did not add,N'a pas été ajouté,
288,Did not cancel,N'a pas été annulé,
289,Did not find {0} for {0} ({1}),Nous n'avons pas trouvé {0} pour {0} ({1}),
290,Did not find any item called {0},N'a pas trouvé d'élément appelé {0},
291,Did not load,N'a pas été chargé,
292,Did not remove,N'a pas été retiré,
293,Did not save,N'a pas été sauvegardé,
294,Did not set,N'a pas été défini,
295,Diesel,Diesel,
296,Difference (Dr - Cr),Écart (Dr - Cr ),
297,Difference Amount,Écart de Montant,
298,Direct Expenses,Dépenses Directes,
299,Direct Income,Revenu Direct,
300,Disable,Désactiver,
301,Disable Customer Signup link in Login page,Désactiver le Lien d'Inscription dans la Page de Connexion,
302,Disable In Words,"Désactiver ""En Lettres""",
303,Disable Report,Désactiver Rapport,
304,Disable Rounded Total,Désactiver le Total Arrondi,
305,Disable Signup,Désactiver Inscription,
306,Disable Standard Email Footer,Désactiver le Pied de Page d’Email Standard,
307,Disabled,Desactivé,
308,disabled user,Utilisateur Désactivé,
309,Discount,Remise,
310,Discount and Margin,Remise et Marge,
311,Discount must be less than 100,La Remise doit être inférieure à 100,
312,Discount on Price List Rate (%),Remise sur la Liste des Prix (%),
313,Discount Percentage,Remise en Pourcentage,
314,Discussion,Discussion,
315,Display,Afficher,
316,Distribution,Distribution,
317,Distributor,Distributeur,
318,Dividends Paid,Dividendes Payés,
319,Divorced,Divorcé,
320,Do Not Contact,Ne Pas Contacter,
321,Do not send Emails.,Ne pas envoyer d'e-mails.,
322,Do not show any symbol like $ etc next to currencies.,"Ne plus afficher le symbole (tel que $, €...) à côté des montants.",
323,"Do not update, but insert new records.","Ne pas mettre à jour, mais insérer les nouveaux enregistrements.",
324,Do you really want to restore this scrapped asset?,Voulez-vous vraiment restaurer cet actif mis au rebut ?,
325,Do you really want to scrap this asset?,Voulez-vous vraiment mettre cet actif au rebut ?,
326,Doc Status,Statut du Document,
327,DocType can only be renamed by Administrator,DocType peut être renommé que par l'Administrateur,
328,DocType on which this Workflow is applicable.,DocType pour lequel ce Flux de Travail est applicable.,
329,Document,Document,
330,Document Name,Nom du Document,
331,Document Status transition from {0} to {1} is not allowed,Changement de Statut du Document de {0} à {1} n'est pas autorisé,
332,Document Type,Type de Document,
333,"document type..., e.g. customer","type de document ..., ex. client",
334,Document Types,Types de Documents,
335,Documentation,Documentation,
336,Documents,Documents,
337,Documents assigned to you and by you.,Documents attribués à vous et par vous.,
338,Domain,Domaine,
339,Domains,Domaines,
340,Don't send Employee Birthday Reminders,Ne pas envoyer de rappel pour le Jour d'Anniversaire des Employés,
341,Done,Terminé,
342,Download,Télécharger,
343,Download Backups,Télécharger les Sauvegardes,
344,Download Blank Template,Télécharger un Modèle Vierge,
345,Download PDF,Télécharger au Format PDF,
346,Download Template,Télécharger le Modèle,
347,Download with data,Télécharger avec les données,
348,Dr,Dr,
349,Draft,Brouillon,
350,Drag and Drop tool to build and customize Print Formats.,Outil Glisser/Déposer pour construire et personnaliser les Formats d'Impression.,
351,Drag elements from the sidebar to add. Drag them back to trash.,Faites glisser les éléments de la barre latérale pour les ajouter. Faites les glisser vers la barre latérale pour les retirer.,
352,Drag to sort columns,Faites glisser pour trier les colonnes,
353,Due Date,Date d'Échéance,
354,Due Date cannot be before Posting Date,La Date d'Échéance ne peut être antérieure à la Date de Comptabilisation,
355,Due Date is mandatory,La Date d’Échéance est obligatoire,
356,Duplicate,Dupliquer,
357,Duplicate name {0} {1},Dupliquer nom {0} {1},
358,Duplicate Serial No entered for Item {0},Dupliquer N° de Série pour l'Article {0},
359,Duties and Taxes,Droits de Douane et Taxes,
360,Dynamic Link,Lien Dynamique,
361,Discount Amount,Remise,
