,English,Français
89,"Only image extensions (.gif, .jpg, .jpeg, .tiff, .png, .svg) allowed","Seules les extensions d'image (.gif, .jpg, .jpeg, .tiff, .png, .svg) sont autorisées"
90,Only leaf nodes are allowed in transaction,Seuls les noeuds feuilles sont autorisés dans une transaction
91,Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,Seuls les champs obligatoires sont nécessaires pour les nouveaux enregistrements. Vous pouvez supprimer des colonnes non obligatoires si vous le souhaitez.
92,Only Obtain Raw Materials,Obtenir seulement des Matières Premières
93,Only the selected Leave Approver can submit this Leave Application,Seul l'Approbateur de Congé sélectionné peut soumettre cette Demande de Congé
94,only.,seulement.
95,Oops! Something went wrong,Oups ! Quelque chose a mal tourné
96,Oops. Your payment has failed.,Oops. Votre paiement a échoué.
97,Open {0},Ouvrir {0}
98,Open a module or tool,Ouvrir un module ou un outil
99,Open Issues,Ouvrir les Questions
100,Open Item {0},Ouvrir l'Article {0}
101,Open Notifications,Ouvrir les Notifications
102,Open Production Orders,Ouvrir les Ordres de Fabrication
103,Open Projects,Ouvrir les Projets
104,Open Source Applications for the Web,Applications Open Source pour le Web
105,Opened,Ouvert
106,Opening,Ouverture
107,Opening (Dr),Ouverture (Dr)
108,Opening Accounting Balance,Solde d'Ouverture de Comptabilité
109,Opening Date,Date d'Ouverture
110,Opening Date and Closing Date should be within same Fiscal Year,Date d'Ouverture et Date de Clôture devraient être dans le même Exercice
111,Opening Date should be before Closing Date,Date d'Ouverture devrait être antérieur à la Date de Clôture
112,Opening Stock,Stock d'Ouverture
113,Opening Time,Horaire d'Ouverture
114,Opening Value,Valeur d'Ouverture
115,Operating Cost,Coût d'Exploitation
116,Operating Costs,Coûts d'Exploitation
117,Operation,Opération
118,Operation Cost,Coût de l'Opération
119,Operation Description,Description de l'Opération
120,Operation ID,ID de l'Opération
121,Operation Time,Temps de l'Opération
122,Operation Time must be greater than 0 for Operation {0},Temps de l'Opération doit être supérieur à 0 pour l'Opération {0}
123,Operations,Opérations
124,Opportunities,Opportunités
125,Opportunity,Opportunité
126,Option 1,Option 1
127,Option 2,Option 2
128,Option 3,Option 3
129,"Optional. Sets company's default currency, if not specified.","Optionnel. Défini la devise par défaut de l'entreprise, si non spécifié."
130,Optional. This setting will be used to filter in various transactions.,Facultatif. Ce paramètre sera utilisé pour filtrer différentes transactions.
131,Options,Options
132,Options Help,Aide Options
133,or,ou
134,Or login with,Ou connectez-vous avec
135,orange,orange
136,Order,Commande
137,Order Type,Type de Commande
138,Ordered,Commandé
139,Ordered Items To Be Billed,Articles Commandés À Facturer
140,Ordered Items To Be Delivered,Articles Commandés à Livrer
141,Ordered Qty,Qté Commandée
142,Ordered Quantity,Quantité Commandée
143,Orders,Commandes
144,Orders released for production.,Commandes validées pour la production.
145,Organization branch master.,Organisation principale des branches.
146,Organization Name,Nom de l'Organisation
147,Organization Profile,Profil de l'Organisation
148,Original Value,Valeur Originale
149,Other,Autre
150,Other Details,Autres Détails
151,Other Reports,Autres Rapports
152,Other Settings,Autres Réglages
153,Others,Autres
154,Out of Warranty,Hors Garantie
155,Outgoing,Sortant
156,Outlook.com,Outlook.com
157,Output,Sortie
158,Outstanding,Solde
159,Outstanding Amount,Montant dû
160,Outstanding for {0} cannot be less than zero ({1}),Solde pour {0} ne peut pas être inférieur à zéro ({1})
161,Overdue,En Retard
162,Overlapping conditions found between:,Conditions qui coincident touvées entre :
163,Owned,Détenu
164,Owner,Propriétaire
165,Occupation,Occupation
166,ok,ok
167,Open,Ouvert
168,Open Link,Ouvrir Lien
169,Options for select. Each option on a new line.,Options pour sélectionner. Chaque option sur une nouvelle ligne.
