,English,Français
94,Exploded_items,Articles-éclatés
95,Export Custom Permissions,Exporter les Autorisations Personnalisées
96,Export Customizations,Exporter les Personnalisations
97,Expose Recipients,Exposer Destinataires
98,eye-close,oeil-fermé
99,eye-open,oeil-ouvert
100,"e.g. ""Build tools for builders""","e.g. ""Construire des outils pour les constructeurs"""
101,"e.g. ""Primary School"" or ""University""",e.g. ""École Primaire"" ou ""Université""
102,"e.g. ""Support"", ""Sales"", ""Jerry Yang""","e.g. ""Support"",""Vente"",""Jerry Yang"""
103,e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,e.g. (55 + 434) / 4 ou = Math.sin(Math.PI/2) ...
104,e.g. 5,e.g. 5
105,"e.g. Bank, Cash, Credit Card","e.g. Cash, Banque, Carte de crédit"
106,"e.g. Kg, Unit, Nos, m","e.g. Kg, Unités, Nbr, m"
107,e.g. pop.gmail.com / imap.gmail.com,e.g. pop.gmail.com / imap.gmail.com
108,e.g. smtp.gmail.com,e.g. smtp.gmail.com
109,e.g. VAT,e.g. TVA
110,e.g.:,e.g. :
111,Earnest Money,Arrhes
112,Earning & Deduction,Revenus et Déduction
113,Earnings,Bénéfices
114,Edit,Modifier
115,Edit {0} properties,Modifier les propriétés {0}
116,Edit Description,Modifier la description
117,Edit DocType,Modifier le DocType
118,Edit Filter,Modifier le Filtre
119,Edit Folder,Modifier le Dossier
120,Edit Format,Modifier le Format
121,Edit HTML,Modifier le code HTML
122,Edit in full page,Modifier en pleine page
123,Edit Profile,Modifier le Profil
124,Edit Properties,Modifier les Propriétés
125,Edit Title,Modifier le Titre
126,Editable Grid,Grille Éditable
127,Editing Row,Modifier Ligne
128,Education,Education
129,"eg. If Apply User Permissions is checked for Report DocType but no User Permissions are defined for Report for a User, then all Reports are shown to that User","e.g. si Appliquer les Permissions Utilisateurs est coché pour un Rapport DocType mais qu'aucune Autorisation Utilisateur n'est définie pour un Rapport pour un utilisateur, alors tous les Rapports seront visibles pour cet Utilisateur."
130,Either target qty or target amount is mandatory,Soit la qté cible soit le montant cible est obligatoire
131,Either target qty or target amount is mandatory.,Soit la qté cible soit le montant cible est obligatoire.
132,eject,éjecter
133,Electric,Électrique
134,Electrical,Électrique
135,Electricity Cost,Coût de l'Électricité
136,Electronic Equipments,Equipements Électroniques
137,Electronics,Électronique
138,Eligibility,Admissibilité
139,Email,E-mail
140,Email Account,Compte Email
141,Email Account Name,Nom du Compte Email
142,Email Address,Adresse Email
143,Email Alert,Alerte Email
144,Email By Role,Email Par rôle
145,Email Digest,Envoyer par Mail le Compte Rendu
146,Email Digest Settings,Paramètres pour le Compte Rendu par Email
147,Email Digest:,Compte Rendu par Email :
148,Email Footer Address,Pied de Page Email
149,Email Group,Groupe Email
150,Email Group List,Liste des Groupes Email
151,Email Group Member,Membre du Groupe Email
152,Email ID,ID Email
153,Email not sent to {0} (unsubscribed / disabled),Email pas envoyé à {0} (désabonné / désactivé)
154,Email not verified with {1},Email non vérifié avec {1}
155,Email Notifications,Notifications par Email
156,Email Queue,File d'Attente Email
157,Email Queue records.,Registres de file d'attente Email.
158,Email Salary Slip to Employee,Envoyer la Fiche de Paie à l'Employé par Mail
159,Email Sent,Email Envoyé
160,Email sent to supplier {0},Email envoyé au fournisseur {0}
161,Email Sent?,Email Envoyé ?
162,Email Server,Serveur Email
163,Email Settings,Paramètres d'Email
164,Email Signature,Signature Email
165,Email Support,Support Email
166,Email To,Email À
167,Email Unsubscribe,Se Désabonner Email
168,Emails are muted,Les Emails sont mis en sourdine
169,Emails Sent,Emails envoyés
170,Emails sent this month,Emails envoyés ce mois-ci
171,Embed image slideshows in website pages.,Intégrer des diaporamas d'images dans les pages du site.
172,Emergency Contact,Contact en cas d'Urgence
173,Emergency Phone,Téléphone d'Urgence
174,Employee,Employé
175,Employee {0} has already applied for {1} between {2} and {3},L'employé {0} a déjà demandé {1} entre {2} et {3}
176,Employee {0} is not active or does not exist,"L'employé {0} n'est pas actif, ou n'existe pas"
177,Employee Attendance Tool,Outil de Gestion des Présences des Employés
178,Employee Birthday,Anniversaire de l'Employé
179,Employee cannot report to himself.,L'employé ne peut pas rendre de compte à lui-même.
180,"Employee designation (e.g. CEO, Director etc.).","Intitulé de poste (e.g.  Directeur Général, Directeur...)"
181,Employee Detail,Détail Employé
182,Employee Education,Formation de l'Employé
183,Employee External Work History,Antécédents Professionnels de l'Employé
184,Employee Internal Work History,Antécédents Professionnels Interne de l'Employé
185,Employee Leave Approver,Approbateur des Congés de l'Employé
186,Employee Leave Balance,Solde des Congés de l'Employé
187,Employee Name,Nom de l'Employé
188,Employee Number,Numéro d'Employé
189,Employee Records to be created by,Dossiers de l'Employés ont été créées par
190,Employee records.,Dossiers de l'Employé.
191,Employee Settings,Paramètres des Employés
192,Employees,Employés
193,Employees Email Id,Identifiants Email des employés
194,Employees HTML,Employés HTML
195,Employees working on a holiday,Employés qui travaillent un jour férié
196,Employment Details,Détails de l'Emploi
197,Employment Type,Type d'Emploi
198,Enable / disable currencies.,Activer / Désactiver les devises
199,Enable Auto Reply,Activer la Réponse Automatique
200,Enable Comments,Activer Commentaires
201,Enable Incoming,Activer Entrant
202,Enable Outgoing,Activer Sortant
203,Enable Report,Activer Rapport
204,Enable Scheduled Jobs,Activer les Tâches Planifiées
205,Enable Shopping Cart,Activer Panier
206,Enabled,Activé
207,End Date,Date de Fin
208,End Date can not be less than Start Date,La date de Fin ne peut pas être antérieure à la Date de Début
209,End of Life,Fin de Vie
210,End Time,Heure de Fin
211,End Year,Fin de l'Année
212,End Year cannot be before Start Year,Fin de l'Année ne peut pas être avant Début de l'Année
213,Ends on,Se termine le
214,Energy,Énergie
215,Engine Oil,Huile Moteur
216,Engineer,Ingénieur
217,Enroll,Inscrire
218,Enter at least one permission row,Entrez au moins une ligne d'autorisation
219,Enter Email Recipient(s),Entrez Email du(des) Destinataire(s)
220,Enter folder name,Entrez le nom du dossier
221,Enter Form Type,Entrez le Type de Formulaire
222,Enter Paid Amount,Entrez Montant Payé
223,Enter the name of the new {0},Entrez le nom du nouveau {0}
224,Enter Value,Entrez une Valeur
225,Enter your password,Entrez votre mot de passe
226,Entertainment & Leisure,Divertissement et Loisir
227,Entry Type,Type d'Écriture
228,envelope,enveloppe
229,Equals,Égal à
230,Equity,Capitaux Propres
231,ERPNext Demo,Demo ERPNext
232,ERPNext Setup Complete!,Installation d'ERPNext Terminée!
233,Error,Erreur
234,Error Code: {0},Code d'erreur : {0}
235,Error Log,Journal des Erreurs
236,Error Report,Rapport d'Erreurs
237,Error Snapshot,Instantané d'Erreur
238,Error: Document has been modified after you have opened it,Erreur : le document a été modifié après que vous l'ayez ouvert
239,Error: Not a valid id?,Erreur : Pas un identifiant valide ?
240,Errors in Background Events,Erreurs dans les Événements en Tâche de Fond
241,ESC,ESC
242,Estimated Cost,Coût Estimé
243,Estimated Time and Cost,Durée et Coût Estimés
244,Evaluation,Évaluation
245,Event,Événement
246,Event and other calendars.,Événement et autres calendriers.
247,Event end must be after start,Fin de l'événement doit être après le début
248,Event Role,Rôle d'Événement
249,Event Type,Type d'Événement
250,Events In Today's Calendar,Événements dans le Calendrier d'Aujourd'hui
251,Every Day,Tous les Jours
252,Every day events should finish on the same day.,Les événements quotidiens devrait se terminer le même jour.
253,Every Month,Chaque Mois
254,Every Week,Chaque Semaine
255,Every Year,Chaque Année
256,Everyone,Tout le monde
257,Exam,Examen
258,Examination Result,Résultat d'Examen
259,Examiner,Examinateur
260,Examiner Name,Nom de l'Examinateur
261,Example,Exemple
262,Example:,Exemple :
263,Example: Basic Mathematics,Exemple : Mathématiques de Base
264,example: Next Day Shipping,Exemple : Livraison le Jour Suivant
265,Exception,Exception
266,Exception Type,Type d'Exception
267,Exchange Rate,Taux de Change
268,Exchange Rate must be same as {0} {1} ({2}),Taux de Change doit être le même que {0} {1} ({2})
269,Execution,Exécution
270,Executive Search,Recrutement de Cadres
271,Exit,Quitter
272,Exit Interview Details,Entretient de Départ
273,Expand,Développer
274,Expand All,Développer Tout
275,Expected Date cannot be before Material Request Date,Date Prévue ne peut pas être avant la Date de Demande de Matériel
276,Expected Delivery Date,Date de Livraison Prévue
277,Expected Delivery Date cannot be before Purchase Order Date,Date de Livraison Prévue ne peut pas être avant la Date de Commande
278,Expected End Date,Date de Fin Prévue
279,Expected Start Date,Date de Début Prévue
280,Expected Time (in hours),Durée Prévue (en heures)
281,Expense,Frais
282,Expense Account,Compte de Charge
283,Expense Approver,Approbateur des Frais
284,Expense Claim,Note de Frais
285,Expense Claim Approved,Note de Frais Approuvée
286,Expense Claim Approved Message,Message d'une Note de Frais Approuvée
287,Expense Claim Detail,Détail Note de Frais
288,Expense Claim is pending approval. Only the Expense Approver can update status.,La Note de Frais est en attente d'approbation. Seul l'Approbateur des Frais peut mettre à jour le statut.
289,Expense Claim Rejected,Note de Frais Rejetée
290,Expense Claim Rejected Message,Message de Note de Frais Rejetée
291,Expense Claim Type,Type de Frais
292,Expense Claims,Notes de Frais
293,Expense Date,Date de Frais
294,Expenses,Charges
295,Expenses Included In Valuation,Frais Inclus dans la Valorisation
296,Expert,Expert
297,Expired,Expiré
298,Expiry Date,Date d'expiration
299,Explore,Explorer
300,Export,Exporter
301,Export not allowed. You need {0} role to export.,Pas autorisé à exporter. Vous devez avoir le rôle {0} pour exporter.
302,Export Template,Exporter le Modèle
303,Exported,Exporté
304,"Expression, Optional","Expression, Optionnel"
305,External,Externe
306,External Work History,Historique de Travail Externe
307,Extra Large,Extra Large
308,Extra Small,Très Petit
309,Earliest,Au plus tôt
310,Entertainment Expenses,Frais de Représentation
