,English,Français,Commentaires
162,Bold (Ctrl/Cmd+B),Gras (Ctrl/Cmd+B),
163,BOM {0} must be active,LDM {0} doit être active,
164,BOM {0} must be submitted,LDM {0} doit être soumise,
165,BOM Browser,Explorateur LDM,Me sembe plus parlant que navigateur
166,BOM does not contain any stock item,LDM ne contient aucun article en stock,
167,BOM Item,Article LDM,
168,BOM No,N° LDM,
169,BOM Operation,Opération LDM,
170,BOM Rate,Taux LDM,
171,BOM replaced,LDM Remplacée,Traduction anglaise à corriger
172,book,livre,
173,bookmark,favoris,
174,Both DocType and Name required,Les champs DocType et Nom sont nécessaires,
175,Both login and password required,Un login et un mot de passe sont requis,
176,Both Warehouse must belong to same Company,Les deux Entrepôt doivent appartenir à la même Société,
177,Bounced,Refusés,
178,Branch,Branche,
179,Brand,Marque,
180,Brand master.,Marque Principale,
181,Brand Name,Nom de la Marque,
182,Breakdown,Panne,
183,briefcase,malette (briefcase),référence non trouvée mais il doit surement s’agit d’une icône font-awesome
184,Broadcasting,Radio/Télévision,
185,Brokerage,Courtage,
186,Browse,Parcourir,
187,Budget,Budget,
188,Budget Variance Report,Rapport d’Écarts de Budget,
189,Build Report,Créer un Rapport,
190,Buildings,Bâtiments,
191,Bulk Edit {0},Modification en Masse {0},
192,Bulk Import Help,Aide pour Importer en Masse,
193,Bulk Rename,Renommer en Masse,
194,Bulk Update,Mise à jour en Masse,
195,Bullet list,Liste à Puces,
196,Bundle items at time of sale.,Grouper les articles au moment de la vente.,
197,Button,Bouton,
198,Buy,Acheter,
199,Buying,Achat,
200,Buying Amount,Montant d'Achat,
201,Buying Settings,Réglages d'Achat,
202,BOM {0} does not belong to Item {1},LDM {0} n’appartient pas à l'article {1},
