,English,Français,
39,Fleet Manager,Gestionnaire de Flotte,
40,Float,Nombre Réel,
41,Fold,Pli,
42,Fold can not be at the end of the form,Un Pli ne peut pas être à la fin du formulaire,
43,Fold must come before a Section Break,Un Pli doit être avant un Saut de Section,
44,folder-close,fermer-dossier,
45,folder-open,ouvrir-dossier,
46,Following fields have missing values:,Les champs suivants ont des valeurs manquantes:,
47,Following Material Requests have been raised automatically based on Item's re-order level,Les Demandes de Matériel suivantes ont été créées automatiquement sur la base du niveau de réapprovisionnement de l’Article,
48,"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","Pour les articles ""Ensembles de Produits"", l’Entrepôt, le N° de Série et le N° de Lot proviendront de la table ""Liste de Colisage"". Si l’Entrepôt et le N° de Lot sont les mêmes pour tous les produits colisés d’un même article ""Ensemble de Produits"", ces valeurs peuvent être entrées dans la table principale de l’article et elles seront copiées dans la table ""Liste de Colisage"".",
49,"For {0}, only credit accounts can be linked against another debit entry","Pour {0}, seuls les comptes de crédit peuvent être liés avec une autre écriture de débit",
50,"For {0}, only debit accounts can be linked against another credit entry","Pour {0}, seuls les comptes de débit peuvent être liés avec une autre écriture de crédit",
51,For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"Par exemple, si vous annulez et modifiez le document INV004, il deviendra un nouveau document INV004-1. Cela vous aide à garder une trace de chaque modification.",
52,For individual supplier,Pour un fournisseur individuel,
53,"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Pour les Liens, entrez le DocType dans une plage. 
Pour les Sélections, entrez la liste des Options, chacune sur une nouvelle ligne.",
54,For ranges,Pour les plages,
55,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included","Pour la ligne {0} dans {1}. Pour inclure {2} dans le prix de l'Article, les lignes {3} doivent également être incluses",
56,"For updating, you can update only selective columns.","Pour la mise à jour, vous pouvez mettre à jour uniquement une sélection colonnes.",
57,Force,Forcer,
58,Force Show,Forcer l'Affichage,
59,Fortnightly,Bimensuel,
60,Frappe,Frappe,
61,Frappe Client ID,ID Client Frappe,
62,Frappe Client Secret,Secret Client Frappe,
63,Frappe Server URL,URL du Serveur Frappe,
64,Frappe User ID,ID Utilisateur Frappe,
65,Freeze Stocks Older Than [Days],Geler les Articles plus Anciens que [Jours],
66,Frequency of Depreciation (Months),Fréquence des Amortissements (Mois),
67,From Currency and To Currency cannot be same,La Devise de Base et la Devise de Cotation ne peuvent pas identiques,
68,From Date should be within the Fiscal Year. Assuming From Date = {0},La Date Initiale doit être dans l'Exercice Fiscal. En supposant Date Initiale = {0},
69,From Full Name,Nom de l’Expéditeur,
70,From Range,Plage Initiale,
71,From Range has to be less than To Range,La Plage Initiale doit être inférieure à la Plage Finale,
72,From Time cannot be greater than To Time.,L’Horaire Initial ne peut pas être postérieur à l’Horaire Final,
73,FS.,FS.,
74,Fuel Price,Prix du Carburant,
75,Fuel Qty,Qté Carburant,
76,Fuel Type,Type de Carburant,
77,Fuel UOM,UDM Carburant,
78,Fulfillment,Accomplissement,
79,Fully Depreciated,Complètement Déprécié,
80,Furnitures and Fixtures,Meubles et Accessoires,
81,Further cost centers can be made under Groups but entries can be made against non-Groups,"D'autres centres de coûts peuvent être créés dans des Groupes, mais des écritures ne peuvent être faites que sur des centres de coûts individuels.",
82,Facebook,Facebook,
83,Facebook User ID,ID Utilisateur Facebook,
84,Facebook Username,Nom d'Utilisateur Facebook,
85,facetime-video,vidéo-facetime,
86,Family Background,Antécédents Familiaux,
87,fast-forward,avance rapide,
88,Father,Père,
89,FavIcon,FavIcon,
90,Fax,Fax,
91,FCFS Rate,Montant PAPS,
92,Featured,Présenté,
93,Featured Products,Produits Présentés,
94,Feedback,Retour d’Expérience,
95,Feedback Request,Demande de Retour d'Expérience,
96,Feedback Request for {0} is sent to {1},Demande de Retour d'Expérience {0} est envoyé à {1},
97,Feedback Submitted,Retour d'Expérience Soumis,
98,Fees,Honoraires,
99,Female,Femme,
100,Field,Champ,
101,Field '{0}' cannot be set as Unique as it has non-unique values,"Le champ '{0}' ne peut pas être défini comme Unique, car il a des valeurs non-uniques",
102,Field {0} in row {1} cannot be hidden and mandatory without default,Champ {0} en ligne {1} ne peut pas être caché et obligatoire sans valeur par défaut,
103,Field {0} is not selectable.,Champ {0} n'est pas sélectionnable.,
104,Field {0} of type {1} cannot be mandatory,Champ {0} de type {1} ne peut pas être obligatoire,
105,Field Description,Description du Champ,
106,Field Name,Nom du Champ,
107,"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Champ qui représente l'État du Workflow de la transaction (si le champ n'est pas présent, un nouveau champ caché personnalisé sera créé)",
108,Field Type,Type de Champ,
109,Fieldname,Nom du Champ,
110,Fieldname {0} appears multiple times in rows {1},Nom du Champ {0} apparaît plusieurs fois dans les lignes {1},
111,Fieldname {0} cannot have special characters like {1},Nom du Champ {0} ne peut pas avoir des caractères spéciaux comme {1},
112,Fieldname is required in row {0},Nom du Champ est nécessaire dans la ligne {0},
113,Fieldname not set for Custom Field,Nom du Champ n'a pas été défini pour un Champ Personnalisé,
114,Fields,Champ,
115,Fieldtype,Type de Champ,
116,FIFO,"FIFO (Premier entré, Premier sorti)",
117,file,fichier,
118,File '{0}' not found,Fichier '{0}' introuvable,
119,File {0} does not exist,Fichier {0} n'existe pas,
120,File Manager,Gestionnaire de Fichiers,
121,File Name,Nom du Fichier,
122,File not attached,Fichier joint manquant,
123,File Size,Taille du Fichier,
124,File size exceeded the maximum allowed size of {0} MB,La taille du fichier a dépassé la taille maximale autorisée de {0} Mo,
125,File to Rename,Fichier à Renommer,
126,File too big,Fichier trop grand,
127,File URL,URL du fichier,
128,Files,Fichiers,
129,Fill Screen,Remplir l'Écran,
130,Fill the form and save it,Remplissez et enregistrez le formulaire,
131,film,film,
132,Filter,Filtre,
133,Filter {0} missing,Filtre {0} manquant,
134,Filter...,Filtre ...,
135,"Filtered by ""{0}""","Filtré par ""{0}""",
136,Filters,Filtres,
137,Financial / accounting year.,Exercice comptable / financier,
138,Financial Services,Services Financiers,
139,Financial Year End Date,Date de Fin de l'Exercice Financier,
140,Financial Year Start Date,Date de Début de l'Exercice Financier,
141,Find {0} in {1},Trouver {0} dans {1},
142,Finish,Terminer,
143,Finished Goods,Produits Finis,
144,fire,feu,
145,First data column must be blank.,La première colonne de données doit être vide.,
146,First Level,Premier niveau,
147,First Name,Prénom,
148,Fiscal Year,Exercice Fiscal,
149,Fiscal Year {0} does not exist,Exercice Fiscal {0} n'existe pas,
150,Fiscal Year {0} is required,Exercice Fiscal {0} est nécessaire,
151,Fiscal Year Company,Société de l’Exercice Fiscal,
152,Fiscal Year: {0} does not exists,Exercice Fiscal: {0} n'existe pas,
153,Fixed Asset,Actif Immobilisé,
154,Fixed Assets,Actifs Immobilisés,
155,Fixed Days,Jours Fixes,
156,Float Precision,Nombre de Décimales,
157,Folder,Dossier,
158,Folder {0} does not exist,Dossier {0} n'existe pas,
159,Folder {0} is not empty,Dossier {0} n’est pas vide,
160,Folder is mandatory,Dossier est obligatoire,
161,Follow via Email,Suivre par E-mail,
162,Following fields are missing:,Les champs suivants sont manquants :,
163,font,Police de Caractères,
164,Font Size,Taille de la Police,
165,Food,Alimentation,
166,"Food, Beverage & Tobacco","Alimentation, Boissons et Tabac",
167,Footer,Pied de Page,
168,Footer Color,Couleur de Pied de Page,
169,Footer Item,Élément du Pied de page,
170,Footer Items,Éléments du Pied de Page,
171,Footer Text Color,Couleur du Texte du Pied de Page,
172,For,Pour,
173,For {0} at level {1} in {2} in row {3},Pour {0} au niveau {1} dans {2} à la ligne {3},
174,For Company,Pour la Société,
175,"For comparative filters, start with","Pour les filtres de comparaison, commencez par",
176,"For e.g. 2012, 2012-13","Par exemple: 2012, 2012-13",
177,For Employee,Employé,
178,For Employee Name,Nom de l'Employé,
179,For Everyone,Pour Tout le Monde,
180,"For example: If you want to include the document ID, use {0}","Par exemple: Si vous voulez inclure l'ID du document, utilisez {0}",
181,For Price List,Pour la Liste de Prix,
182,For Production,Pour la Production,
183,For Quantity,Pour la Quantité,
184,For Quantity (Manufactured Qty) is mandatory,Pour Quantité (Qté Fabriqué) est obligatoire,
185,For reference,Pour référence,
186,For Reference Only.,Pour Référence Seulement.,
187,For Supplier,Pour Fournisseur,
188,"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","Pour la commodité des clients, ces codes peuvent être utilisés dans des formats d'impression comme les Factures et les Bons de Livraison",
189,For top bar,Pour la barre supérieure,
190,For User,Pour l'Utilisateur,
191,For Warehouse,Pour l’Entrepôt,
192,For Warehouse is required before Submit,Pour l’Entrepôt est requis avant de Soumettre,
193,Forgot Password?,Mot de Passe Oublié ?,
194,Form,Formulaire,
195,Format,Format,
196,Format Data,Format des Données,
197,Formula,Formule,
198,forward,avant,
199,Forward To Email Address,Transférer à l'Adresse Email,
200,Fraction,Fraction,
201,Fraction Units,Fractions d’Unités,
202,Frames,Cadres,
203,Frappe Framework,Modèle Frappe,
204,Freeze Stock Entries,Geler les Entrées de Stocks,
205,Freight and Forwarding Charges,Frais de Fret et d'Expédition,
206,Frequency,Fréquence,
207,Friday,Vendredi,
208,Friendly Title,Titre Convivial,
209,From,À partir de,
210,From {0} | {1} {2},Du {0} | {1} {2},
211,From {0} to {1},Du {0} au {1},
212,From and To dates required,Les date Du et Au sont requises,
213,From BOM,De LDM,
214,From Company,De la Société,
215,From Currency,De la Devise,
216,From Customer,Du Client,
217,From Date,A partir du,
218,From Date cannot be greater than To Date,La Date Initiale ne peut pas être postérieure à la Date Finale,
219,From Date must be before To Date,La Date Initiale doit être antérieure à la Date Finale,
220,From Datetime,A partir du (Date et Heure),
221,From Delivery Note,Du Bon de Livraison,
222,From Employee,De l'Employé,
223,From Invoice Date,De la Date de la Facture,
224,From Lead,Du Prospect,
225,From Package No.,Du N° de Colis,
226,From Time,Horaire de Début,
227,From Value,De la Valeur,
228,From value must be less than to value in row {0},De la Valeur doit être inférieure à la valeur de la ligne {0},
229,From Warehouse,De l'Entrepôt,
230,Frozen,Gelé,
231,Full Name,Nom et Prénom,
232,Full Page,Pleine Page,
233,Full-time,Temps Plein,
234,fullscreen,Plein Écran,
235,Fully Billed,Entièrement Facturé,
236,Fully Completed,Entièrement Complété,
237,Fully Delivered,Entièrement Livré,
238,"Further accounts can be made under Groups, but entries can be made against non-Groups","D'autres comptes individuels peuvent être créés dans les groupes, mais les écritures ne peuvent être faites que sur les comptes individuels",
239,Further nodes can be only created under 'Group' type nodes,D'autres nœuds peuvent être créés uniquement sous les nœuds de type 'Groupe',
240,Failed,Échoué,
241,fast-backward,retour-rapide,
