,English,Français
71,Search for ',Rechercher '
72,Search for anything,Rechercher tout
73,Search Item,Rechercher Article
74,Search or type a command,Rechercher ou taper une commande
75,Search results for,Résultats de recherche pour
76,"Search Results for ""{0}""","Résultats de la recherche pour ""{0}"""
77,Search Sub Assemblies,Rechercher les Sous-Ensembles
78,Search...,Rechercher...
79,"Seasonality for setting budgets, targets etc.","Saisonnalité de l'établissement des budgets, des objectifs, etc."
80,Seating Capacity,Nombre de places
81,Section Heading,Titre de la Section
82,Securities & Commodity Exchanges,Bourses de Valeurs Mobilières et de Marchandises
83,Securities and Deposits,Titres et Dépôts
84,"See ""Rate Of Materials Based On"" in Costing Section","Voir ""Taux des Matériaux Basé Sur"" dans la Section des Coûts"
85,See on Website,Voir sur le Site
86,Seems API Key or API Secret is wrong !!!,Il semble que la Clé API ou le Secret API soit faux !!!
87,"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Il semble y avoir un problème avec la configuration razorpay du serveur. Ne vous inquiétez pas, en cas d'échec le montant sera remboursé sur votre compte."
88,Seems ldap is not installed on system,Il semble que ldap ne soit pas installé sur le système
89,Seen By,Vu Par
90,Seen By Table,Table Vu Par
91,Select a Brand Image first.,Sélectionner une Image de Marque en premier.
92,Select a DocType to make a new format,Sélectionner un DocType pour faire un nouveau format
93,Select account head of the bank where cheque was deposited.,Sélectionner le compte principal de la banque où le chèque a été déposé.
94,Select an existing format to edit or start a new format.,Sélectionner un format existant pour le modifier ou pour démarrer un nouveau format.
95,Select atleast 1 record for printing,Sélectionner au moins 1 enregistrement pour l'impression
96,Select BOM,Sélectionner LDM
97,Select BOM and Qty for Production,Sélectionner la LDM et la Qté pour la Production
98,Select change amount account,Sélectionner le compte de change
99,Select Companies,Sélectionner les Sociétés
100,Select Default Supplier,Sélectionner le Fournisseur par Défaut
101,Select Document Type or Role to start.,Sélectionner le Rôle ou le Type de Document pour démarrer.
102,Select Document Types to set which User Permissions are used to limit access.,Sélectionner les Types de Document pour définir quelles Autorisations Utilisateur sont utilisées pour limiter l'accès.
103,Select employees for current Salary Structure,Sélectionner les Employés pour la Grille de Salaire actuelle
104,Select File Type,Sélectionner le Type de Fichier
105,Select Fiscal Year...,Sélectionner Exercice ...
106,Select Items to Manufacture,Sélectionner les Articles à Fabriquer
107,Select items to save the invoice,Sélectionner les articles pour sauvegarder la facture
108,Select Mandatory,Sélectionner Obligatoirement
109,Select Module,Sélectionner Module
110,Select Monthly Distribution to unevenly distribute targets across months.,Sélectionner une Répartition Mensuelle afin de repartir uniformément les objectifs sur le mois.
111,Select or add new customer,Sélectionner ou ajoutez nouveau client
112,Select or drag across time slots to create a new event.,Sélectionner ou glisser sur des intervalles de temps pour créer un nouvel événement.
113,Select Payment Account to make Bank Entry,Sélectionner Compte de Crédit pour faire l'Écriture Bancaire
114,Select Payroll Period,Sélectionner la Période de Paie
115,Select Possible Supplier,Sélectionner le Fournisseur Possible
116,Select Quantity,Sélectionner Quantité
117,Select records for assignment,Sélectionner les dossiers pour attribution
118,Select Shipping Address,Sélectionner l'Adresse de Livraison
119,Select Supplier Address,Sélectionner l'Adresse du Fournisseur
120,"Select target = ""_blank"" to open in a new page.","Sélectionner target = ""_blank"" pour ouvrir dans une nouvelle page."
121,Select the nature of your business.,Sélectionner la nature de votre entreprise.
122,Select the period when the invoice will be generated automatically,Sélectionner la période pendant laquelle la facture sera générée automatiquement
123,Select Type of Document to Download,Sélectionner le Type de Document à Télécharger
124,Select uploaded file,Sélectionner le fichier téléchargé
125,Select User or DocType to start.,Sélectionner l'Utilisateur ou DocType pour commencer.
126,Select your Domain,Sélectionner votre Nom de Domaine
127,"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.","La sélection de ""Oui"" donnera une identité unique à chaque entité de cet article qui peut être consulté dans le registre de N° de Série."
128,Sell,Vendre
129,Seller City,Ville du Vendeur
130,Seller Country,Pays du Vendeur
131,Seller Email,Email du Vendeur
132,Seller Name,Nom du Vendeur
133,Seller Website,Site du Vendeur
134,Selling Amount,Montant de Vente
135,"Selling must be checked, if Applicable For is selected as {0}","Vente doit être vérifiée, si ""Applicable pour"" est sélectionné comme {0}"
136,Selling price for item {0} is lower than its {1}. Selling price should be atleast {2},Prix de vente pour l'article {0} est inférieure à sa {1}. Prix de vente devrait être au moins {2}
137,Seminar,Séminaire
138,Send alert if this field's value changes,Envoyer une alerte si la valeur de ce champ change
139,Send Attachements,Envoyer Pièces Jointes
140,Send days before or after the reference date,Envoyer jours avant ou après la date de référence
141,Send document web view link in email,Envoyer le lien de l'affichage web du document dans l'email
142,Send Email Print Attachments as PDF (Recommended),Envoyer les Pièces Jointes Imprimées de l'Email au format PDF (recommandé)
143,Send Emails At,Envoyer Emails À
144,Send enquiries to this email address,Envoyer une demande à cette adresse courriel
145,Send Feedback Request only if there is at least one communication is available for the document.,Envoyer une Demande de Retour d'Expérience que s'il y a au moins une communication disponible pour le document.
146,Send mass SMS to your contacts,Envoyer un SMS en masse à vos contacts
147,Send Notifications for Transactions I Follow,Envoyer des notifications pour les Transactions que je Suis
148,Send only if there is any data,Envoyer seulement s'il y a des données
149,Send Print as PDF,Envoyer Imprimer en PDF
150,Send Read Receipt,Envoyer Accusé de Réception
151,Send Records Updated in Last X Hours,Envoyer des Enregistrements Mis à Jour ces X Dernières Heures
152,Send Supplier Emails,Envoyer des Emails au Fournisseur
153,Send Unsubscribe Link,Envoyer le Lien de Désabonnement
154,Send unsubscribe message in email,Envoyer un message de désabonnement dans l'email
155,Sendgrid,SendGrid
156,Sending,Envoi
157,Sent On,Envoyé le
158,Sent Read Receipt,Accusé Réception Envoyé
159,Separate production order will be created for each finished good item.,Des ordres de fabrication séparés seront créés pour chaque article produit fini.
160,Serial No {0} is under maintenance contract upto {1},N° de Série {0} est sous contrat de maintenance jusqu'à {1}
161,Serial No {0} quantity {1} cannot be a fraction,N° de série {0} quantité {1} ne peut pas être une fraction
162,Serial no item cannot be a fraction,N° de série de l'article ne peut pas être une fraction
163,Serial No Service Contract Expiry,Expiration du Contrat de Service du N° de Série
164,Serial No Warranty Expiry,Expiration de Garantie du N° de Série
165,Serial Nos Required for Serialized Item {0},N° de Séries Requis pour Article Sérialisé {0}
166,Serial number {0} entered more than once,Numéro de série {0} est entré plus d'une fois
167,Serial Number Series,Séries de Numéros de Série
168,"Serialized Item {0} cannot be updated using Stock Reconciliation","Article Sérialisé {0} ne peut pas être mis à jour en utilisant la Réconciliation de Stock"
169,Server Error,Erreur du Serveur
170,Server Error: Please check your server logs or contact tech support.,Erreur de serveur : Veuillez vérifier vos logs du serveur ou contacter le support technique.
171,Service Detail,Détails du Service
172,Service Expense,Frais de Service
173,Service Item,Poste de Service
174,"Service Item,Type,frequency and expense amount are required","Poste de Service, le Type, la fréquence et le montant des frais sont exigés"
175,Service_Details,Details_Service
176,Set 0 for no limit,Définir à 0 pour aucune limite
177,Set custom roles for page and report,Définissez des rôles personnalisés pour la page et le rapport
178,Set Exchange Gain / Loss,Définir le change Gain / Perte
179,Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Définir des budgets par Groupes d'Articles sur ce Territoire. Vous pouvez également inclure de la saisonnalité en définissant la Répartition.
180,Set non-standard precision for a Float or Currency field,Définir la précision non standard pour un champ Flottant ou Devise
181,Set Number of Backups,Définir Nombre de Sauvegardes
182,Set Only Once, Ne Définir qu'une Seule Fois
183,Set Permissions,Définir les Autorisations
184,Set Role For,Définir le Rôle Pour
185,Set Sort,Définir le Tri
186,Set targets Item Group-wise for this Sales Person.,Définir des objectifs par Groupe d'Articles pour ce Commercial
187,Set Tax Rule for shopping cart,Définir la Règle d'Impôt pour le panier
188,Set the display label for the field,Réglez l'étiquette d'affichage pour le champ
189,Set User Permissions,Définir les Autorisations des Utilisateurs
190,Setting Account Type helps in selecting this Account in transactions.,Définir le Type de Compte aide à sélectionner ce Compte dans les transactions.
191,"Setting Events to {0}, since the Employee attached to the below Sales Persons does not have a User ID{1}","Définir les Événements à {0}, puisque l'employé attaché au Commercial ci-dessous n'a pas d'ID Utilisateur {1}"
192,Setting this Address Template as default as there is no other default,"Définition de ce Modèle d'Adresse par défaut, car il n'y a pas d'autre défaut"
193,Setting up Email Account,Configuration du Compte Email
194,Setting up Employees,Configuration des Employés
195,Setting up Taxes,Configuration des Impôts
196,Settings for Accounts,Réglages pour les Comptes
197,Settings for Buying Module,Réglages pour le Module d'Achats
198,Settings for Contact Us Page,Réglages pour la Page Contacter Nous
199,Settings for Contact Us Page.,Réglages pour la Page Contacter Nous.
200,Settings for OAuth Provider,Réglages pour le Fournisseur OAuth
201,Settings for the About Us Page,Réglages pour la page À Propos
202,Settings for website homepage,Réglages pour la page d'accueil du site
203,Setup > User,Configuration > Utilisateur
204,Setup > User Permissions Manager,Configuration > Gestionnaire des Autorisations Utilisateur
205,Setup a simple website for my organization,Installation d'un site web simple pour mon organisation
206,Setup already complete,Configuration déjà terminée
207,Setup Auto Email,Configuration Auto Email
208,Setup cheque dimensions for printing,Configurez les dimensions du chèque pour l'impression
209,Setup Gateway accounts.,Configuration des Comptes passerelle.
210,"Setup of top navigation bar, footer and logo.","Configuration de la barre de navigation en haut, du pied de page et du logo."
211,Setup Reports to be emailed at regular intervals,Configurer les Rapports pour être envoyer par email à intervalles réguliers
212,Setup SMS gateway settings,Configuration de la passerelle SMS
213,Setup your School in ERPNext,Configurez votre École dans ERPNext
214,SG Creation Tool Course,Cours de Création d'Outil SG
215,SH,SH
216,share,part
217,share-alt,part-alt
218,Sheet 1,Feuille 1
219,Shipping Address Name,Nom de l'Adresse de Livraison
220,Shipping Amount,Montant de la Livraison
221,Shipping County,Comté de Livraison
222,Shipping Rule Conditions,Conditions de la Règle de Livraison
223,Shipping Rule Country,Pays de la Règle de Livraison
224,Shipping Rule Label,Étiquette de la Règle de Livraison
225,Shipping State,État de livraison
226,Shopping Cart Settings,Paramètres du Panier
227,Shopping Cart Shipping Rule,Règles de Livraison du Panier
228,Short keyboard patterns are easy to guess,Modèles de clavier courts sont faciles à deviner
229,Shortage,Pénurie
230,show,montrer
231,"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.","Afficher ""En stock"" ou ""Pas en stock"" basé sur le stock disponible dans cet entrepôt."
232,Show all data,Afficher toutes les données
233,Show all Versions,Afficher toutes les Versions
234,Show as cc,Afficher en tant que cc
235,Show Barcode Field,Afficher Champ Code Barre
236,Show Chart,Afficher le Graphique
237,Show closed,Afficher fermé
238,Show failed jobs,Afficher emplois échoués
239,Show Filters,Afficher les Filtres
240,Show in Module Section,Afficher la Section Module
241,Show in Website (Variant),Afficher dans le Website (Variant)
242,Show Items,Afficher les Articles
243,Show Likes,Afficher Likes
244,Show Line Breaks after Sections,Afficher les Sauts de Ligne après Sections
245,Show Log,Afficher le Journal
246,Show open,Afficher ouverte
247,Show Operations,Afficher Opérations
248,Show Permissions,Afficher les Autorisations
249,Show Print First,Afficher Imprimer en Premier
250,Show Products as a List,Afficher les Produits en Liste
251,Show Quantity in Website,Afficher la Quantité sur le Site
252,Show Relapses,Afficher les Rechutes
253,Show Salary Slip,Afficher la Fiche de Salaire
254,Show Section Headings,Voir la Section Titres
255,Show Sidebar,Afficher la Barre Latérale
256,Show tax break-up,Afficher le détail des impôts
257,Show this slideshow at the top of the page,Afficher ce diaporama en haut de la page
258,"Show title in browser window as ""Prefix - title""","Afficher le titre dans la fenêtre du navigateur comme ""Prefix - titre"""
259,Show Totals,Afficher les Totaux
260,Show unclosed fiscal year's P&L balances,Afficher le solde du compte de résulat des exercices non cloturés
261,Show User Permissions,Afficher les Autorisations de l'utilisateur
262,Show Variants,Afficher les Variantes
263,Sibling Details,Détails Frères et Sœurs
264,Siblings,Frères et Sœurs
265,Sidebar and Comments,Barre Latérale et Commentaires
266,Sidebar Items,Articles de la Barre Latérale
267,Sidebar Settings,Réglages de la Barre Latérale
268,Sign in,Se Connecter
269,Sign Up is disabled,L'inscription est désactivée
270,Signatory Position,Position Signataire
271,Simultaneous Sessions,Sessions Simultanées
272,Single Post (article).,Simple Post (article).
273,Single Types have only one record no tables associated. Values are stored in tabSingles,Types Simples ont un seul enregistrement aucunes tables associées. Les valeurs sont stockées dans tabSingles
274,Single unit of an Item.,Seule unité d'un Article.
275,SINV-,SINV-
276,SINV-RET-,SINV-RET-
277,Size (MB),Taille (Mo)
278,Skip Authorization,Passer autorisation
279,Slideshow like display for the website,Diaporama comme écran pour le site
280,Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"La plus petite unité de fraction de circulation (pièce de monnaie). E.g. 1 centime pour l'EUR et il devrait être saisi 0,01"
281,Smallest Currency Fraction Value,Plus Petite Valeur Fractionée de la Devise
282,SMS,SMS
283,SMS Gateway URL,URL de la Passerelle SMS
284,SMTP Settings for outgoing emails,Réglages SMTP pour les emails sortants
285,Snapshot View,Vue Snapshot
286,SO Qty,SO Qté
287,SO-,SO-
288,Soap & Detergent,Savons & Détergents
289,Social Login Keys,Clés Connexion Social
290,Soft-Bounced,Soft-Bounced
291,Softwares,Softwares
292,Sold,Vendu
293,Some information is missing,Certaines informations sont manquantes
294,Something went wrong,Quelque chose s'est mal passé
295,"Sorry, companies cannot be merged","Désolé, les sociétés ne peuvent pas être fusionnées"
296,"Sorry, Serial Nos cannot be merged","Désolé, les N° de Série ne peut pas être fusionnés"
297,Sorry! I could not find what you were looking for.,Désolé ! Je n'ai pas trouvé ce que vous recherchiez.
298,Sorry! Sharing with Website User is prohibited.,Désolé ! Partage avec Utilisateur du Site Web est interdit.
299,Sorry! User should have complete access to their own record.,Désolé ! Les utilisateurs devraient avoir un accès complet à leur propre dossier.
300,Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,Désolé. Vous avez atteint la limite maximum de l'utilisateur pour votre abonnement. Vous pouvez soit désactiver un utilisateur existant ou acheter un abonnement supérieur.
301,Sort Field,Champ de Tri
302,Sort field {0} must be a valid fieldname,Champ de tri {0} doit être un nom de champ valide
303,Sort Order,Ordre de Tri
304,Source and Target Warehouse cannot be same,Entrepôt Source et Destination ne peuvent pas être le même
305,Source and target warehouse must be different,Entrepôt source et destination doivent être différents
306,Source Name,Nom de la Source
307,Source of Funds (Liabilities),Source des Fonds (Passif)
308,Source Text,Texte Source
309,Source Warehouse (for reserving Items),Entrepôt Source (pour la réservation des Articles)
310,Space usage,Utilisation de l'espace
311,Spam,Spam
312,SparkPost,SparkPost
313,Special Characters are not allowed,Les Caractères Spéciaux ne sont pas autorisés
314,"Special Characters except ""-"", ""#"", ""."" and ""/"" not allowed in naming series","Les caractères spéciaux sauf ""-"", ""#"", ""."" et ""/"" ne sont pas autorisés dans le nommage des séries"
315,Specified BOM {0} does not exist for Item {1},La LDM {0} spécifiée n'existe pas pour l'Article {1}
316,Specify conditions to calculate shipping amount,Spécifier les conditions pour calculer le montant de la livraison
317,Specify Exchange Rate to convert one currency into another,Spécifier le Taux de Change pour convertir une monnaie en une autre
318,"Specify the operations, operating cost and give a unique Operation no to your operations.","Spécifier les opérations, le coût d'exploitation et donner un N° d'Opération unique à vos opérations."
319,Specify the value of the field,Spécifier la valeur du champ
320,Split Delivery Note into packages.,Séparer le Bon de Livraison dans des paquets.
321,"SQL Conditions. Example: status=""Open""","Conditions SQL. Exemple : status=""Open"""
322,SQTN-,SQTN-
323,Sr,Sr
324,Sr No,N° Série
325,SR/,SR/
326,Standard contract terms for Sales or Purchase.,Termes contractuels standards pour Ventes ou Achats
327,Standard Reply Help,Aide pour la Réponse Standard
328,Standard roles cannot be disabled,Les rôles standard ne peuvent pas être désactivées
329,Standard roles cannot be renamed,Les rôles standard ne peuvent pas être renommés
330,Standard Sidebar Menu,Menu Standard de la Barre Latérale
331,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Modèle de la taxe standard qui peut être appliqué à toutes les Opérations d'Achat. Ce modèle peut contenir la liste des titres d'impôts ainsi que d'autres titre de charges comme ""Livraison"", ""Assurance"", ""Gestion"", etc. 

#### Remarque 

Le taux d'imposition que vous définissez ici sera le taux d'imposition standard pour tous les **Articles**. S'il y a des **Articles** qui ont des taux différents, ils doivent être ajoutés dans la table **Taxe de l'Article** dans les donées de base **Article**.

#### Description des Colonnes

1. Type de Calcul : 
    - Cela peut être le **Total Net** (qui est la somme des montants de base).
    - **Total / Montant Sur la Ligne Précédente** (pour les taxes ou frais accumulés). Si vous sélectionnez cette option, la taxe sera appliquée en pourcentage du montant ou du total de la ligne précédente (dans la table d'impôts).
    - **Réelles** (comme mentionné).
2. Titre du Compte : Le journal comptable dans lequel cette taxe sera comptabilisée
3. Centre de Coût : Si la taxe / redevance est un revenu (comme la livraison) ou une charge, elle doit être comptabilisée dans un Centre de Coûts.
4. Description : Description de la taxe (qui sera imprimée sur les factures / devis).
5. Taux : Le taux d'imposition.
6. Montant : Le montant de la taxe.
7. Total : Total accumulé à ce point.
8. Entrez la Ligne : Si elle est basée sur ""Total de la Ligne Précédente"" vous pouvez sélectionner le numéro de la ligne qui sera pris comme base pour ce calcul (par défaut la ligne précédente).
9. Considérez Taxe ou Charge pour : Dans cette section, vous pouvez spécifier si la taxe / redevance est seulement pour la valorisation (pas une partie du total) ou seulement pour le total (n'ajoute pas de la valeur à l'article) ou pour les deux.
10. Ajouter ou Déduire : Ce que vous voulez ajouter ou déduire de la taxe."
332,"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Modèle de la taxe standard qui peut être appliqué à toutes les Opérations de Vente. Ce modèle peut contenir la liste des titres d'impôts ainsi que d'autres titre de produits / charges comme ""Livraison"", ""Assurance"", ""Gestion"", etc. 

#### Remarque 

Le taux d'imposition que vous définissez ici sera le taux d'imposition standard pour tous les **Articles**. S'il y a des **Articles** qui ont des taux différents, ils doivent être ajoutés dans la table **Taxe de l'Article** dans le maître **Article**.

#### Description des Colonnes

1. Type de Calcul : 
    - Cela peut être le **Total Net** (qui est la somme des montants de base).
    - **Total / Montant Sur la Ligne Précédente** (pour les taxes ou frais accumulés). Si vous sélectionnez cette option, la taxe sera appliquée en pourcentage du montant ou du total de la ligne précédente (dans la table d'impôts).
    - **Réelles** (comme mentionné).
2. Titre Compte : Le journal comptable dans lequel cette taxe sera comptabilisée
3. Centre de Coût : Si la taxe / redevance est un revenu (comme la livraison) ou une charge, elle doit être comptabilisée dans un Centre de Coûts.
4. Description : Description de la taxe (qui sera imprimée sur les factures / devis).
5. Taux : Le taux d'imposition.
6. Montant : Le montant de la taxe.
7. Total : Total accumulé à ce point.
8. Entrez la Ligne : Si elle est basée sur ""Total de la Ligne Précédente"" vous pouvez sélectionner le numéro de la ligne qui sera pris comme base pour ce calcul (par défaut la ligne précédente).
9. L'Impôt est-il inclus dans le Prix de Base ? : Si vous cochez cette, cela signifie que cette taxe ne sera pas affichée sous le tableau de l'article, mais sera inclus dans le Prix de Base dans votre tableau principal de l'article. C'est utile lorsque vous voulez donner un prix plat (toutes taxes comprises) aux clients."
333,Standard Template,Modèle Standard
334,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Termes et Conditions Standard qui peuvent être ajoutés aux Ventes et Achats.

Exemples : 

1. Validité de l'offre.
2. Conditions de paiement (À l'Avance, À Crédit, une partie en avance, etc).
3. Qu'est-ce qui est en supplément (ou à payer par le Client).
3. Avertissement d'utilisation / de sécurité.
4. Garantie, le cas échéant.
5. Politique de Retour.
6. Conditions de Livraison, le cas échéant.
7. Règlement des litiges, indemnisation, responsabilité, etc. 
8. Adresse et Contact de votre Société."
335,star-empty,étoile-vide
336,Start date of current invoice's period,Date de début de la période de facturation en cours
337,Start Year,Année de Début
338,Starting location from left edge,Position initiale depuis bord gauche
339,Starting position from top edge,Position initiale depuis bord haut
340,Statement of Account,Relevé de Compte
341,States,États
342,"States for workflow (e.g. Draft, Approved, Cancelled).","États pour flux de travail (par exemple, Brouillons , Approuvé, Annulé)."
343,Status must be one of {0},Le statut doit être l'un des {0}
344,Status: {0},Statut : {0}
345,Statutory info and other general information about your Supplier,Informations légales et autres informations générales au sujet de votre Fournisseur
346,STE-,STE-
347,step-backward,vers-larrière
348,step-forward,vers-l'avant
349,Stock Adjustment,Ajustement du Stock
350,Stock Adjustment Account,Compte d'Ajustement du Stock
351,Stock Ageing,Viellissement du Stock
352,Stock Analytics,Analyse du Stock
353,Stock Assets,Actifs du Stock
354,Stock Balance,Solde du Stock
355,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Solde du stock dans le Lot {0} deviendra négatif {1} pour l'Article {2} à l'Entrepôt {3}
356,Stock cannot be updated against Purchase Receipt {0},Stock ne peut pas être mis à jour pour le Reçu d'Achat {0}
357,Stock cannot exist for Item {0} since has variants,Stock ne peut pas exister pour l'Article {0} puisqu'il a des variantes
358,Stock Details,Détails du Stock
359,"Stock entries exist against Warehouse {0}, hence you cannot re-assign or modify it","Des écritures de stock existent pour l'Entrepôt {0}, vous ne pouvez donc pas le réaffecter ou le modifier"
360,Stock Entry {0} created,Écriture de Stock {0} créée
361,Stock Entry Detail,Détails de l'Écriture de Stock
362,Stock Items,Articles de Stock
363,Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Écritures du Journal du Stock et Écritures du Grand Livre sont republiées pour les Reçus d'Achat sélectionnés
364,Stock Levels,Niveaux du Stocks
365,Stock Liabilities,Passif du Stock
366,Stock Options,Options du Stock
367,Stock Projected Qty,Qté de Stock Projeté
368,Stock Queue (FIFO),File d'Attente du Stock (FIFO)
369,Stock Reconciliation,Réconciliation du Stock
370,Stock Reconciliation Item,Article de Réconciliation du Stock
371,Stock Reports,Rapports de Stock
372,Stock Settings,Réglages de Stock
373,Stock Summary,Résumé du Stock
374,Stock UOM,UDM du Stock
375,Stock Value,Valeur du Stock
376,Stock Value Difference,Différence de Valeur du Sock
