,English,Français,
97,Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Nombre de colonnes pour un champ dans une vue en Liste ou en Grille (Total des colonnes doit être inférieur à 11),
98,Number of Depreciations Booked,Nombre d’Amortissements Comptabilisés,
99,Number of Depreciations Booked cannot be greater than Total Number of Depreciations,Nombre d’Amortissements Comptabilisés ne peut pas être supérieur à Nombre Total d'Amortissements,
100,Name,Nom,
101,Name and Employee ID,Nom et ID de l’Employé,
102,Name and Type,Nom et Type,
103,Name cannot contain special characters like {0},Le Nom ne peut contenir des caractères spéciaux tels que {0},
104,Name Case,Casse du Nom,
105,Name is required,Le Nom est obligatoire,
106,Name of {0} cannot be {1},Nom de {0} ne peut pas être {1},
107,Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Nom du Nouveau Compte. Note: Veuillez ne pas créer de comptes Clients et Fournisseurs,
108,Name of person or organization that this address belongs to.,Nom de la personne ou de la société à qui cette adresse appartient.,
109,Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,Nom du Type de Document (DocType) auquel vous souhaitez que ce champ soit lié. e.g. Client,
110,Name of the Monthly Distribution,Nom de la Répartition Mensuelle,
111,Name of the new Print Format,Nom du nouveau Format d'Impression,
112,Name or Email is mandatory,Nom ou Email est obligatoire,
113,Naming,Nom,
114,Naming Series,Nom de la Série,
115,Navigating,Naviguer,
116,Negative Quantity is not allowed,Quantité Négative n'est pas autorisée,
117,Nested set error. Please contact the Administrator.,Erreur de réglage imbriqué . Veuillez contacter l'Administrateur .,
118,Net Amount,Montant Net,
119,Net Amount (Company Currency),Montant Net (Devise Société),
120,Net Cash from Financing,Trésorerie Nette des Financements,
121,Net Hour Rate,Taux Horaire Net,
122,Net Pay,Salaire Net,
123,Net Pay (in words) will be visible once you save the Salary Slip.,Salaire Net (en lettres) sera visible une fois que vous aurez enregistré la Fiche de Paie.,
124,Net pay cannot be negative,Salaire Net ne peut pas être négatif,
125,Net Profit / Loss,Bénéfice Net / Perte Nette,
126,Net Rate,Taux Net,
127,Net Rate (Company Currency),Taux Net (Devise Société),
128,Net Total,Total Net,
129,Net Total (Company Currency),Total Net (Devise Société),
130,Net Weight,Poids Net,
131,Net Weight UOM,UDM Poids Net,
132,New,Nouveau,
133,New {0},Nouveau {0},
134,New {0} (Ctrl+B),Nouveau {0} (Ctrl + B),
135,New {0}: #{1},Nouveau {0}: # {1},
136,New Account Name,Nouveau Nom de Compte,
137,New Address,Nouvelle Adresse,
138,New comment on {0} {1},Nouveau commentaire sur {0} {1},
139,New Company,Nouvelle Société,
140,New Contact,Nouveau Contact,
141,New Cost Center Name,Nom du Nouveau Centre de Coûts,
142,New Custom Print Format,Nouveau Format d'Impression Personnalisé,
143,New Customers,Nouveaux Clients,
144,New Expenses,Nouveaux Frais,
145,New Folder,Nouveau Dossier,
146,New Income,Nouveau Revenu,
147,New Leave Application,Nouvelle Demande de Congés,
148,New Leaves Allocated,Nouvelle Allocation de Congés,
149,New Leaves Allocated (In Days),Nouvelle Allocation de Congés (en jours),
150,New Name,Nouveau Nom,
151,New Newsletter,Nouvelle Newsletter,Plus courant qu’Info-Lettre à mon avis
152,New Password,Nouveau Mot de Passe,
153,New password emailed,Nouveau mot de passe envoyé par courriel,
154,New Program,Nouveau Programme,
155,New Sales Invoice,Nouvelle Facture de Vente,
156,new type of document,nouveau type de document,
157,New value to be set,Nouvelle valeur à définir,
158,New Workplace,Nouveau Lieu de Travail,
159,Newsletter,Newsletter,
160,Newsletter has already been sent,La Newsletter a déjà été envoyée,
161,Newsletter Manager,Responsable de la Newsletter,
162,Newsletters,Newsletters,
163,"Newsletters to contacts, leads.","Newsletters aux contacts, prospects.",
164,Newspaper Publishers,Éditeurs de Journaux,
165,Next,Suivant,
166,Next actions,Prochaines actions,
167,Next Contact,Contact Suivant,
168,Next Contact By,Contact Suivant Par,
169,Next Contact Date,Date du Prochain Contact,
170,Next Date,Date Suivante,
171,Next email will be sent on:,Le prochain Email sera envoyé le :,
172,Next State,État Suivant,
173,Next Steps,Prochaines Étapes,
174,No,Non,
175,No {0} found,Pas de {0} trouvé,
176,No {0} permission,Pas d’autorisation {0},
177,No accounting entries for the following warehouses,Pas d’écritures comptables pour les entrepôts suivants,
178,No address added yet.,Aucune adresse ajoutée.,
179,No alerts for today,Aucune alerte pour aujourd'hui,
180,No Apps Installed,Aucunes Applications Installées,
181,No comments yet,Pas encore de commentaires,
182,No contacts added yet.,Aucun contact ajouté.,
183,No Copy,Aucune Copie,
184,No Data,Aucune Donnée,
185,No data found,Aucune donnée trouvée,
186,No default BOM exists for Item {0},Aucune LDM par défaut n’existe pour l'article {0},
187,No description given,Aucune Description,
188,No document selected,Aucun document sélectionné,
189,No employee found,Aucun employé trouvé,
190,No file attached,Pas de fichier joint,
191,No further records,Pas d'autre enregistrements,
192,No Item with Barcode {0},Aucun Article avec le Code Barre {0},
193,No Item with Serial No {0},Aucun Article avec le N° de Série {0},
194,No Items to pack,Pas d’Articles à emballer,
195,No matching apps found,Aucunes applications correspondantes trouvées,
196,No more results.,Aucun résultat additionnel.,
197,"No need for symbols, digits, or uppercase letters.","Pas besoin de symboles, de chiffres ou de lettres majuscules.",
198,No of Columns,Nb de Colonnes,
199,No of Requested SMS,Nb de SMS Demandés,
200,No of Sent SMS,Nb de SMS Envoyés,
201,No of Visits,Nb de Visites,
202,No Permission,Aucune Autorisation,
203,No permission for {0},Pas d'autorisation pour {0},
204,No permission to '{0}' {1},Pas d'autorisation pour '{0}' {1},
205,No permission to {0} {1} {2},Pas d'autorisation pour {0} {1} {2},
206,No permission to edit,Pas d'autorisation pour modifier,
207,No permission to read {0},Pas d'autorisation pour lire {0},
208,No permission to write / remove.,Pas d'autorisation pour écrire / supprimer.,
209,No Permissions set for this criteria.,Aucune Autorisations définies pour ce critère.,
210,No Production Orders created,Pas d'Ordre de Production créé,
211,No record found,Aucun enregistrement trouvé,
212,No records found in the Invoice table,Aucun enregistrement trouvé dans la table Facture,
213,No records found in the Payment table,Aucun enregistrement trouvé dans la table Paiement,
214,No records tagged.,Aucun enregistrement étiqueté.,
215,No Remarks,Aucune Remarque,
216,No Results,Aucun Résultat,
217,No template found at path: {0},Aucun modèle trouvé au chemin: {0},
218,No User Restrictions found.,Pas de Restrictions Utilisateur trouvées.,
219,Non Profit,À But Non Lucratif,
220,none of,aucun des,
221,Nos,N°,
222,Not active,Non actif,
223,Not allowed from this IP Address,Non autorisé à partir de cette Adresse IP,
224,Not allowed to change {0} after submission,Non autorisé à changer {0} après la soumission,
225,Not allowed to Import,Non autorisé à Importer,
226,Not allowed to update stock transactions older than {0},Non autorisé à mettre à jour les transactions du stock antérieures à {0},
227,Not Applicable,Non Applicable,
228,Not authorized to edit frozen Account {0},Vous n'êtes pas autorisé à modifier le compte gelé {0},
229,Not authroized since {0} exceeds limits,Non autorisé car {0} dépasse les limites,
230,Not Billed,Non Facturé,
231,Not Delivered,Non Livré,
232,Not enough permission to see links.,Autorisations insuffisantes pour voir les liens.,
233,Not equals,Non égaux,
234,Not Expired,Non Expiré,
235,Not Found,Non Trouvé,
236,Not in Developer Mode,Pas en Mode Développeur,
237,Not Like,Pas Comme,
238,Not Permitted,Non Autorisé,
239,Not permitted for {0},Non autorisé pour {0},
240,Not Published,Non Publié,
241,Not Saved,Non Sauvegardé,
242,Not Seen,Non Vu,
243,Not Sent,Non Envoyé,
244,Not Set,Non Défini,
245,Not Started,Non Commencé,
246,Note,Remarque,
247,Note Seen By,Remarque Vue Par,
248,Note: {0},Remarque : {0},
249,Note: Email will not be sent to disabled users,Remarque : Email ne sera pas envoyé aux utilisateurs désactivés,
250,Note: Item {0} entered multiple times,Remarque : Article {0} saisi plusieurs fois,
251,Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,Remarque : Écriture de Paiement ne sera pas créée car le compte 'Compte Bancaire ou de Caisse' n'a pas été spécifié,
252,Note: There is not enough leave balance for Leave Type {0},Remarque : Le solde de congé est insuffisant pour le Type de Congé {0},
253,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Remarque : Ce Centre de Coûts est un Groupe. Vous ne pouvez pas faire des écritures comptables sur des groupes.,
254,Notes,Remarques,
255,Notes:,Remarques :,
256,Nothing to request,Aucune requête à effectuer,
257,Nothing to show,Rien à montrer,
258,Notice (days),Préavis (jours),
259,Notice Period,Période de Préavis,
260,Notification,Notification,
261,Notification Control,Contrôle de Notification,
262,Notification Email Address,Adresse Email de Notification,
263,Notifications and bulk mails will be sent from this outgoing server.,Les Notifications et Lots d’Emails seront envoyés à partir de ce serveur sortant.,
264,Notify by Email,Notifier par Email,
265,Notify by Email on creation of automatic Material Request,Notifier par Email lors de la création automatique de la Demande de Matériel,
266,Notify if unreplied,Notifier si aucune réponse,
267,Notify if unreplied for (in mins),Notifier si aucune réponse dans (en min),
268,Number Format,Format Numérique,
269,Number of Backups,Nombre de Sauvegardes,
270,Number of Order,Nombre de Commandes,
271,Numeric Values,Valeurs Numériques,
272,New Email,Nouvel Email,
