,English,Français
76,Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Pourcentage que vous êtes autorisé à recevoir ou à livrer en plus de la quantité commandée. Par exemple: Si vous avez commandé 100 unités et que votre allocation est de 10% alors que vous êtes autorisé à recevoir 110 unités.
77,Period Closing Entry,Écriture de Clôture de la Période
78,Period Closing Voucher,Bon de Clôture de la Période
79,Period From and Period To dates mandatory for recurring {0},Les Dates de Période Initiale et Période Finale sont obligatoires pour {0} récurrent(e)
80,Perm Level,Niveau d'Autorisation
81,Permanent Address Is,L’Adresse Permanente Est
82,"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","Les Autorisations sont définies sur les Rôles et les Types de Documents (appelés DocTypes ) en définissant des droits , tels que Lire, Écrire, Créer, Supprimer, Envoyer, Annuler, Modifier, Rapporter, Importer, Exporter, Imprimer, Envoyer un Email et Définir les Autorisations de l'Utilisateur ."
83,Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,Les Autorisations aux niveaux supérieurs sont des permissions de Niveau Champ. Un Niveau d'Autorisation est défini pour chaque Champ et les règles définies pour ces Autorisations s’appliquent au Champ. Ceci est utile si vous voulez cacher ou mettre certains champs en lecture seule pour certains Rôles.
84,"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Les Autorisations au niveau 0 sont les autorisations de Niveau Document, c’est à dire qu'elles sont nécessaires pour accéder au document."
85,Permissions get applied on Users based on what Roles they are assigned.,Autorisations sont appliqués aux utilisateurs en fonction des  Rôles qui leurs sont affectés.
86,Permissions Settings,Réglages des Autorisations
87,Permitted Documents For User,Documents Autorisés pour l'Utilisateur
88,Petrol,Essence
89,Pharmaceutical,Pharmaceutique
90,Pharmaceuticals,Médicaments
91,PIN,PIN
92,PINV-,PINV-
93,PINV-RET-,PINV-RET-
94,Plan for maintenance visits.,Plan pour les visites de maintenance.
95,Plan material for sub-assemblies,Plan de matériaux pour les sous-ensembles
96,Plan time logs outside Workstation Working Hours.,Planifiez les journaux de temps en dehors des Heures de Travail de la Station de Travail.
97,plane,plan
98,Planned Operating Cost,Coûts de Fonctionnement Prévus
99,Plants and Machineries,Usines et Machines
100,play,jouer
101,play-circle,jouer-cercle
102,Please ask your administrator to verify your sign-up,Veuillez demander à votre administrateur de vérifier votre inscription
103,Please attach a file first.,Veuillez d’abord joindre un fichier.
104,Please attach a file or set a URL,Veuillez joindre un fichier ou définir une URL
105,Please cancel Purchase Invoice {0} first,Veuillez d’abord annuler la Facture d'Achat {0}
106,Please check Multi Currency option to allow accounts with other currency,Veuillez vérifier l'option Multi-Devises pour permettre les comptes avec une autre devise
107,Please check your email for verification,Veuillez vérifier votre email pour vérification
108,Please click on 'Generate Schedule' to fetch Serial No added for Item {0},"Veuillez cliquer sur "" Générer Calendrier ' pour récupérer le N° Série ajouté à l'article {0}"
109,Please click on 'Generate Schedule' to get schedule,"Veuillez cliquer sur "" Générer Calendrier » pour obtenir le calendrier"
110,Please close this window,Veuillez fermer cette fenêtre
111,Please contact to the user who have Sales Master Manager {0} role,Veuillez contactez l'utilisateur qui a le rôle de Sales Master Manager {0}
112,Please create an Account for this Warehouse and link it. This cannot be done automatically as an account with name {0} already exists,Veuillez créer un Compte pour cet Entrepôt et le lier. Cela ne peut être fait automatiquement car un compte avec le nom {0} existe déjà
113,Please create new account from Chart of Accounts.,Veuillez créer un nouveau compte au sein du Plan Comptable .
114,Please define grade for treshold 0%,Veuillez définir une note pour le seuil de 0% 
115,Please do not change the template headings.,Veuillez ne pas modifier les rubriques de modèle.
116,Please duplicate this to make changes,Veuillez créer un duplicata pour faire des changements
117,Please Duplicate this Website Theme to customize.,Veuillez Dupliquer le thème de ce site Web pour le personnaliser.
118,Please enter,Veuillez entrer
119,Please enter 'Expected Delivery Date',Veuillez entrer ‘Date de Livraison Prévue '
120,Please enter Account for Change Amount,Veuillez entrez un Compte pour le Montant de Change
121,Please enter Approving Role or Approving User,Veuillez entrer un Rôle Approbateur ou un Rôle Utilisateur
122,Please enter Asset Category in Item {0},Veuillez entrer une Catégorie d'Actif dans la rubrique {0}
123,"Please enter both your email and message so that we \
				can get back to you. Thanks!","Veuillez entrer à la fois votre email et votre message afin que nous \
 puissions revenir vers vous. Merci!"
124,Please enter Company,Veuillez entrer une Société
125,Please enter company first,Veuillez d’abord entrer une Société
126,Please enter Cost Center,Veuillez entrer un Centre de Coûts
127,Please enter Employee Id of this sales person,Veuillez entrez l’Employé ID de ce commercial
128,Please enter Expense Account,Veuillez entrer un Compte de Charges
129,Please enter Item Code to get batch no,Veuillez entrer le Code d'Article pour obtenir n° de lot
130,Please enter Item Code to get Batch Number,Veuillez entrer le Code d'Article pour obtenir le Numéro de Lot
131,Please enter Item Code.,Veuillez entrez le Code d'Article.
132,Please enter item details,Veuillez entrer les détails de l’article
133,Please enter Item first,Veuillez d’abord entrer l'Article
134,Please enter Maintaince Details first,Veuillez d’abord entrer les Détails de Maintenance
135,Please enter Material Requests in the above table,Veuillez entrer les Demandes de Matériel dans le tableau ci-dessus
136,Please enter message before sending,Veuillez entrer le message avant d'envoyer
137,Please enter parent cost center,Veuillez entrer le centre de coût parent
138,Please enter Preferred Contact Email,Veuillez entrer l’Email de Contact Préférré
139,Please enter Production Item first,Veuillez d’abord entrer l'Article en Production
140,Please enter Receipt Document,Veuillez entrer le Document de Réception
141,Please enter relieving date.,Veuillez entrer la date de relève.
142,Please enter repayment Amount,Veuillez entrer le Montant de remboursement
143,Please enter Repayment Periods,Veuillez entrer les Périodes de Remboursement
144,Please enter Sales Orders in the above table,Veuillez entrer des Commandes Clients dans le tableau ci-dessus
145,Please enter valid Financial Year Start and End Dates,Veuillez entrer des Dates de Début et de Fin d’Exercice Comptable valides
146,Please enter values for App Access Key and App Secret Key,Veuillez entrer des valeurs pour la Clé d’Accès à l’App et la Clé Secrète de l’App
147,Please enter Warehouse for which Material Request will be raised,Veuillez entrer l’Entrepôt pour lequel une Demande de Matériel sera faite
148,Please enter Write Off Account,Veuillez entrer un Compte d’Annulation
149,Please give a detailed feebdack.,Veuillez donner un retour d’expérience détaillé.
150,Please give a fullname.,Veuillez donner un nom complet.
151,Please give a rating.,Veuillez donner une note.
152,Please install dropbox python module,Veuillez installer le module Python Dropbox
153,Please make sure that there are no empty columns in the file.,Veuillez vous assurer qu'il n'y a pas de colonnes vides dans le fichier.
154,Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Veuillez vous assurer que vous voulez vraiment supprimer tous les transactions de cette société. Vos données de base resteront intactes. Cette action ne peut être annulée.
155,Please mention no of visits required,Veuillez indiquer le nb de visites requises
156,Please mention Round Off Account in Company,Veuillez indiquer le compte d’Arrondi de la Société
157,Please mention Round Off Cost Center in Company,Veuillez indiquer le Centre de Coûts d’Arrondi de la Société
158,Please pull items from Delivery Note,Veuillez récupérer les articles des Bons de Livraison
159,Please re-type company name to confirm,Veuillez saisir à nouveau le nom de la société pour confirmer
160,Please save before attaching.,Veuillez enregistrer avant de joindre une pièce.
161,Please save the document before assignment,Veuillez enregistrer le document avant l'affectation
162,Please save the document before generating maintenance schedule,Veuillez enregistrer le document avant de générer le calendrier d'entretien
163,Please save the document before removing assignment,Veuillez enregistrer le document avant de retirer l’affectation
164,Please save the report first,Veuillez d’abord enregistrer le rapport
165,Please see attachment,Veuillez voir la pièce jointe
166,Please select {0},Veuillez sélectionner {0}
167,Please select {0} first,Veuillez d’abord sélectionner {0}
168,Please select a Amount Field.,Veuillez sélectionner un champ Montant.
169,Please select a Company,Veuillez sélectionner une entreprise
170,Please select a csv file,Veuillez sélectionner un fichier csv
171,Please select a file or url,Veuillez sélectionner un fichier ou une URL
172,Please select a rating,Veuillez choisir une note
173,Please select a valid csv file with data,Veuillez sélectionner un fichier CSV valide contenant des données
174,Please select a value for {0} quotation_to {1},Veuillez sélectionner une valeur pour {0} devis à {1}
175,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Veuillez sélectionnez le Montant Alloué, le Type de Facture et le Numéro de Facture dans au moins une ligne"
176,Please select another payment method. PayPal does not support transactions in currency '{0}',Veuillez choisir un autre mode de paiement. PayPal ne supporte pas les transactions en monnaie « {0} »
177,Please select another payment method. Razorpay does not support transactions in currency '{0}',Veuillez choisir un autre mode de paiement. Razorpay ne supporte pas les transactions en monnaie « {0} »
178,Please select Apply Discount On,Veuillez sélectionnez Appliquer Remise Sur
179,Please select atleast 1 column from {0} to sort/group,Veuillez sélectionner au moins 1 colonne de {0} pour trier / grouper
180,Please select BOM for Item in Row {0},Veuillez sélectionnez une LDM pour l’Article à la Ligne {0}
181,Please select BOM in BOM field for Item {0},Veuillez sélectionner une LDM dans le champ LDM pour l’Article {0}
182,Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Veuillez sélectionnez Report si vous souhaitez également inclure le solde des congés de l'exercice précédent à cet exercice
183,Please select Category first,Veuillez d’abord sélectionner une Catégorie
184,Please select Charge Type first,Veuillez d’abord sélectionner le Type de Facturation
185,Please select Company,Veuillez sélectionner une Société
186,Please select Company and Party Type first,Veuillez d’abord sélectionner une Société et le Type de Parti
187,Please select Company first,Veuillez d’abord sélectionner une Société
188,Please select correct account,Veuillez sélectionner un compte correct
189,Please select customer,Veuillez sélectionner un client
190,Please select date,Veuillez sélectionner une date
191,Please select Document Type first,Veuillez d’abord sélectionner le Type de Document
192,Please select Employee Record first.,Veuillez d’abord sélectionner le Dossier de l'Employé.
193,Please select Existing Company for creating Chart of Accounts,Veuillez sélectionner une Société Existante pour créer un Plan de Compte
194,Please select Incharge Person's name,Veuillez sélectionner le nom du/de la Responsable
195,"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Veuillez sélectionner un Article où ""Est un Article Stocké"" est ""Non"" et ""Est un Article à la Vente"" est ""Oui"" et il n'y a pas d'autre Groupe de Produits"
196,Please select Party Type first,Veuillez d’abord sélectionner le Type de Parti
197,Please select Posting Date before selecting Party,Veuillez sélectionner la Date de Comptabilisation avant de sélectionner le Parti
198,Please select Posting Date first,Veuillez d’abord sélectionner la Date de Comptabilisation
199,Please select Start Date and End Date for Item {0},Veuillez sélectionner la Date de Début et Date de Fin pour l'Article {0}
200,Please select Student Group or Student Batch,Veuillez sélectionner un Groupe Étudiant ou un Lot Étudiant
201,Please select the document type first,Veuillez d’abord sélectionner le type de document
202,Please select weekly off day,Veuillez sélectionnez les jours de congé hebdomadaires
203,Please set 'Apply Additional Discount On',Veuillez définir ‘Appliquer réduction supplémentaire sur ‘
204,Please set 'Asset Depreciation Cost Center' in Company {0},Veuillez définir 'Centre de Coûts des Amortissements d’Actifs’ de la Société {0}
205,Please set 'Gain/Loss Account on Asset Disposal' in Company {0},Veuillez définir ‘Compte de Cessions des Immobilisations’ de la Société {0}
206,Please set {0},Veuillez définir {0}
207,Please set default account in Expense Claim Type {0},Veuillez définir le compte par défaut dans le Type de Demande de Remboursement {0}
208,Please set default account in Salary Component {0},Veuillez définir le compte par défaut dans la Composante Salariale {0}
209,Please set default payable account in the employee {0},Veuillez définir le compte créditeur par défaut pour l'employé {0}
210,Please set Default Payroll Payable Account in Company {0},Veuillez définir le Compte Créditeur de Paie par Défaut pour la Société {0}
211,Please set Depreciation related Accounts in Asset Category {0} or Company {1},Veuillez définir le Compte relatif aux Amortissements dans la Catégorie d’Actifs {0} ou la Société {1}
212,Please set Dropbox access keys in your site config,Veuillez définir les clés d'accès Dropbox dans la configuration de votre site
213,Please set Email Address,Veuillez définir une Adresse Email
214,Please set filters value in Report Filter table.,Veuillez définir la valeur des filtres dans le Tableau des Filtres de Rapport.
215,Please set Naming Series for {0} via Setup > Settings > Naming Series,Veuillez définir le Nom de la Série pour {0} via Configuration> Paramètres > Nom de Série
216,Please set Next Depreciation Date,Veuillez définir la Prochaine Date d’Amortissement
217,Please set Number of Depreciations Booked,Veuillez définir le Nombre d’Amortissements Comptabilisés
218,Please set recurring after saving,Veuillez définir la récurrence après avoir sauvegardé
219,Please set User ID field in an Employee record to set Employee Role,Veuillez définir le champ ID de l'Utilisateur dans un dossier Employé pour définir le Rôle de l’Employés
220,Please setup default Email Account from Setup > Email > Email Account,Veuillez configurer un Compte Email par défaut depuis Configuration> Email> Compte Email
221,Please setup Employee Naming System in Human Resource > HR Settings,Veuillez configurer une Sytème de Nomage des Employés dans Ressources Humaines> Paramètres RH
222,Please setup numbering series for Attendance via Setup > Numbering Series,Veuillez configurer des numérotation de séries pour la Présence via Configuration > Numérotation Série
223,Please share your feedback for {0},Veuillez partager votre commentaire pour {0}
224,Please sign-up or login to begin,Veuillez vous inscrire ou vous connecter pour commencer
225,Please specify a {0},Veuillez spécifier un {0}
226,Please specify a country for this Shipping Rule or check Worldwide Shipping,Veuillez spécifier un pays pour cette Règle de Port ou cocher Livraison Monde
227,Please specify a valid 'From Case No.',Veuillez spécifier un ‘Depuis le Cas N°.’ valide
228,Please specify a valid Row ID for row {0} in table {1},Veuillez spécifier un N° de Ligne valide pour la ligne {0} de la table {1}
229,Please specify at least one attribute in the Attributes table,Veuillez spécifier au moins un attribut dans la table Attributs
230,Please specify Attribute Value for attribute {0},Veuillez spécifier une Valeur d’Attribut pour l'attribut {0}
231,Please specify doctype,Veuillez indiquer doctype
232,Please specify either Quantity or Valuation Rate or both,"Veuillez spécifier la Quantité, le Taux de Valorisation ou les deux"
233,Please specify user,Veuillez spécifier l'utilisateur
234,Please specify which date field must be checked,Veuillez spécifier quel champ Date doit être vérifié
235,Please specify which value field must be checked,Veuillez indiquer quel champ de valeur doit être vérifiée
236,Please supply the specified items at the best possible rates,Veuillez fournir les articles spécifiés aux meilleurs tarifs possibles
237,Please try again,Veuillez réessayer
238,Please Update SMS Settings,Veuillez Mettre à Jour les Paramètres de SMS
239,Please Upgrade to add more than {0} subscribers,Veuillez choisir un Forfait supérieur pour ajouter plus que {0} abonnés
240,Please verify your Email Address,Veuillez vérifier votre adresse e-mail
241,Plot,Terrain
242,PO-,PO-
243,Point-of-Sale Profile,Profil de Point-De-Vente
244,Policy,Politique
245,Policy No,Politique N°
246,Port,Port
247,Portal,Portail
248,Portal Menu,Menu Portail
249,Portal Menu Item,Article du Menu Portail
250,Portal Settings,Paramètres du Portail
251,POS Customer Group,Groupe Clients PDV
252,POS Item Group,Groupe d'Articles PDV
253,POS Profile,Profil PDV
254,POS Profile {0} already created for user: {1} and company {2},Profil PDV {0} déjà créé pour l'utilisateur: {1} et la société {2}
255,POS Profile required to make POS Entry,Profil PDV nécessaire pour faire une écriture de PDV
256,Possible Supplier,Fournisseur Potentiel
257,Post Graduate,Post-Diplômé
258,Posted By,Posté par
259,Posting Date cannot be future date,La Date de Publication ne peut pas être une date future
260,Posting Time,Heure de Publication
261,Posting timestamp must be after {0},Horodatage doit être après {0}
262,Posts by {0},Messages de {0}
263,Posts filed under {0},Messages déposées en vertu de {0}
264,Potential Sales Deal,Ventes Potentielles
265,PR,PR
266,PR Detail,Détail PR
267,Pre Sales,Prévente
268,PREC-,PREC-
269,PREC-RET-,PREC-RET-
270,Predictable substitutions like '@' instead of 'a' don't help very much.,Les substitutions prévisibles comme '@' au lieu de 'a' n’aident pas beaucoup.
271,Prefered Contact Email,Email de Contact Préféré
272,Prefered Email,Email Préféré
273,Press Esc to close,Appuyez sur Echap pour fermer
274,Prevdoc DocType,DocPréc DocType
275,Preview HTML,Aperçu HTML
276,Preview Salary Slip,Aperçu Fiche de Salaire
277,Previous Financial Year is not closed,L’Exercice Financier Précédent n’est pas fermé
278,Previous Work Experience,Expérience de Travail Antérieure
279,Price,Prix
280,Price List {0} is disabled or does not exist,Liste des Prix {0} est désactivée ou n'existe pas
281,Price List Country,Pays de la Liste des Prix
282,Price List Currency,Devise de la Liste de Prix
283,Price List Currency not selected,Devise de la Liste de Prix non sélectionnée
284,Price List Exchange Rate,Taux de Change de la Liste de Prix
285,Price List Rate,Taux de la Liste des Prix
286,Price List Rate (Company Currency),Taux de la Liste de Prix (Devise de la Société)
287,Price or Discount,Prix ou Réduction
288,Prices will not be shown if Price List is not set,Les Prix ne seront pas affichés si la Liste de Prix n'est pas définie
289,Pricing,Tarification
290,Pricing Rule Help,Aide pour les Règles de Tarification
291,"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","La Règle de Tarification est d'abord sélectionnée sur la base du champ ‘Appliquer sur’, qui peut être un Article, un Groupe d'Articles ou une Marque."
292,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","La Règle de Tarification est faite pour remplacer la Liste de Prix / définir le pourcentage de remise, sur la base de certains critères."
293,Pricing Rules are further filtered based on quantity.,Les Règles de Tarification sont d'avantage filtrés en fonction de la quantité.
294,Primary Settings,Paramètres Principaux
295,Principal Amount,Montant Principal
296,Print and Stationery,Impression et Papeterie
297,Print Format {0} is disabled,Le Format d'Impression {0} est désactivé
298,Print Format Help,Aide pour le Format d'Impression
299,Print Format Type,Type de Format d'Impression
300,Print Hide,Masquer à l'Impression
301,Print settings updated in respective print format,Paramètres d'impression mis à jour au format d'impression respectif
302,"Print Width of the field, if the field is a column in a table","Imprimer la Largeur du champ, si le champ est une colonne dans une table"
303,Print with letterhead,Imprimer avec en-tête
304,Printed On,Imprimé sur
305,Private Equity,Capital Risque
306,Private or Public?,Public ou Privé ?
307,PRO-,PRO-
308,Probation,Essai
309,Probationary Period,Période d’Essai
310,Processing Payroll,Traitement de la Paie
311,Procurement,Approvisionnement
312,Product {0},Produit {0}
313,Product Bundle Help,Aide pour les Ensembles de Produits
314,Product Bundle Item,Article d'un Ensemble de Produits
315,Product Search,Recherche de Produit
316,Production Analytics,Analyse de la Production
317,Production Detail,Détail de la Production
318,Production Item,Article de Production
319,Production Order {0} must be cancelled before cancelling this Sales Order,L'Ordre de Production {0} doit être annulé avant d’annuler cette Commande Client
320,Production Order {0} must be submitted,L'Ordre de Production {0} doit être soumis
321,Production Order already created for all items with BOM,Ordre de Production déjà créé pour tous les articles avec LDM
322,Production Order cannot be raised against a Item Template,Ordre de Production ne peut être créé avec un Modèle d’Article
323,Production Order Item,Article de l'Ordre de Production
324,Production Order not created,Ordre de Production non créé
325,Production Order Operation,Opération d’Ordre de Production
326,Production Order status is {0},Le Statut de l'Ordre de Production est {0}
327,Production Order Stock Report,Rapport de Stock de l’Ordre de Production
328,Production Orders Created: {0},Odres de Production Créés: {0}
329,Production Plan Item,Article du Plan de Production
330,Production Plan Material Request,Demande de Matériel du Plan de Production
331,Production Plan Sales Order,Commande Client du Plan de Production
332,Production Planning Tool,Outil de Planification de la Production
333,Productions Orders cannot be raised for:,Les Ordres de Production ne peuvent pas être créés pour:
334,Products Settings,Paramètres des Produits
335,Products to be shown on website homepage,Produits destinés à être affichés sur la page d’accueil du site Web
336,Profile,Profil
337,Profit & Loss,Profit & Pertes
338,Profit and Loss Statement,Compte de Résultat
339,Profitability Analysis,Analyse de Profitabilité
340,Program,Programme
341,Program Abbreviation,Abréviation du Programme
342,Program Code,Code du Programme
343,Program Course,Cours du Programme
344,Program Enrollment,Inscription au Programme
345,Program Enrollment Fee,Frais d'Inscription au Programme
346,Program Enrollment Tool,Outil d’Inscription au Programme
347,Program Enrollment Tool Student,Outil d'Inscription au Programme Éudiant
348,Program Enrollments,Inscriptions au Programme
349,Program Fee,Frais du Programme
350,Program Name,Nom du Programme
351,Progress,Progression
352,Progress % for a task cannot be more than 100.,% de Progression pour une tâche ne peut pas être supérieur à 100.
353,Project Collaboration Invitation,Invitation de Collaboration à un Projet
354,Project Quantity,Quantité Projet
355,Project Status,Statut du Projet
356,Project User,Utilisateur du Projet
357,Project will be accessible on the website to these users,Projet sera accessible sur le site Web à ces utilisateurs
358,Project wise Stock Tracking,Suivi des Stocks de l’Ensemble du Projet
359,Project-wise data is not available for Quotation,Les données de l’ensemble du projet ne sont pas disponibles pour un devis
360,Projected,Projeté
361,Projected Quantity as Source,Quantité Projetée comme Source
362,Prompt for Email on Submission of,Demander l’Email lors de la Soumission de
363,Property Setter,Initialisateur de Propriété
364,Property Setter overrides a standard DocType or Field property,L’Initialisateur de Propriété remplace un DocType standard ou la propriété d’un champ
365,Proposal Writing,Rédaction de Propositions
366,Provide Email Address registered in company,Fournir l'Adresse Email enregistrée dans la société
367,Provisional Profit / Loss (Credit),Gain / Perte (Crédit) Provisoire 
368,PS-,PS-
369,Publish Availability,Publier la Disponibilité
370,Publish in Hub,Publier dans le Hub
371,Publish Item to hub.erpnext.com,Publier un Artice sur hub.erpnext.com
372,Publish Items on Website,Publier les Articles sur le Site
373,Publish Items to Hub,Publier les articles sur le Hub
374,Publish Pricing,Publier la Tarification
375,Pull Material Request of type Manufacture based on the above criteria,Récupérer les Demandes de Matériel de Type Production sur la base des critères ci-dessus
376,Pull sales orders (pending to deliver) based on the above criteria,Récupérer les commandes de vente (en attente de livraison) sur la base des critères ci-dessus
377,Purchase Amount,Montant de l'Achat
378,Purchase Date,Date d'Achat
379,Purchase Invoice {0} is already submitted,La Facture d’Achat {0} est déjà soumise
380,Purchase Invoice Advance,Avance sur Facture d’Achat
381,Purchase Invoice Item,Article de la Facture d'Achat
382,Purchase Invoice Trends,Tendances des Factures d'Achat
383,Purchase Order,Bon de Commande
384,Purchase Order Item,Article du Bon de Commande
385,Purchase Order Item Supplied,Article Acheté du Bon de Commande
386,Purchase Order Items To Be Billed,Articles à Facturer du Bon de Commande
387,Purchase Order Items To Be Received,Articles à Recevoir du Bon de Commande
388,Purchase Order Message,Message du Bon de Commande
389,Purchase Order number required for Item {0},Numéro de Bon de Commande requis pour l'Article {0}
390,Purchase Order Required,Bon de Commande Requis
391,Purchase Order to Payment,Du Bon de Commande au Paiement
392,Purchase Order Trends,Tendances des Bons de Commande
393,Purchase Orders given to Suppliers.,Bons de Commande donnés aux Fournisseurs
394,Purchase orders help you plan and follow up on your purchases,Les Bons de Commande vous aider à planifier et à assurer le suivi de vos achats
395,Purchase Receipt,Reçu d’Achat
396,Purchase Receipt {0} is not submitted,Le Reçu d’Achat {0} n'est pas soumis
397,Purchase Receipt Item,Article du Reçu d’Achat
398,Purchase Receipt Item Supplied,Articles Achetés du Reçus d’Achat
399,Purchase Receipt Items,Articles du Reçu d’Achat
400,Purchase Receipt Message,Message du Reçu d’Achat
401,Purchase Receipt number required for Item {0},Numéro du Reçu d'Achat requis pour l'Article {0}
402,Purchase Receipt Required,Reçu d’Achat Requis
403,Purchase Receipt Trends,Tendances des Reçus d'Achats
404,Purchase Receipts,Réçus d'Achats
405,Purchase Register,Registre des Achats
406,Purchase Tax Template,Modèle de Taxes pour les Achats
407,Purchase Taxes and Charges,Taxes et Frais pour Achats
408,Purchase User,Utilisateur Acheteur
409,purple,violet
410,Pyver,Pyver
411,Package Weight Details,Détails du Poids du Paquet
412,Packed Item,Article Emballé
413,Packed Items,Articles Emballés
414,Packed quantity must equal quantity for Item {0} in row {1},La quantité emballée doit être égale à la quantité pour l'Article {0} à la ligne {1}
415,Packing List,Liste de Colisage
416,Packing Slip,Bordereau de Colis
417,Packing Slip(s) cancelled,Bordereau(x) de Colis annulé(s)
418,Page,Page
419,Page {0},Page {0}
420,Page {0} of {1},Page {0} sur {1}
421,Page Break,Saut de Page
422,Page HTML,Page HTML
423,Page missing or moved,Page manquante ou déplacée
424,Page Name,Nom de la Page
